,KKKD068,KKKD068_V1,KKKD068_V2,KKU055,KKU055_V1,KKU055_V2,KKU213c,KKU213c_V1,KKU213c_V2,RBE,RBE_V1,RBE_V2
ENSG00000005020,41.961102,61.051332,49.347493,11.952162,18.759306,24.155039,27.638963,53.209922,51.809752,26.579759,34.057264,45.718625
ENSG00000005022,580.860319,426.032941,442.264717,833.655121,574.083995,569.85506,942.320415,627.474466,680.406669,515.940206,381.42461,332.382287
ENSG00000005059,9.610724,14.225532,17.988991,11.731565,15.208294,15.210379,8.31244,8.331493,7.91912,6.39963,5.251585,5.676632
ENSG00000005073,3.396017,1.338201,1.429624,0.428555,1.848856,1.855926,0,0,0,0,0,0
ENSG00000005075,182.277612,231.41156,207.80487,114.48017,126.420942,125.536628,86.273371,90.067153,102.179259,88.605839,88.131611,100.13776
ENSG00000005100,20.308089,16.19327,16.997661,26.312262,19.484956,17.549444,26.218408,17.325064,19.494415,16.497094,15.508732,11.185359
ENSG00000005102,0,0,0,47.307597,128.931797,126.652256,0,0,0,0,0,0
ENSG00000005108,0.050552,0.185156,0.131926,0.026087,0.414858,0.047251,0.017681,0.091139,0.037779,0.239428,0.097585,0.209855
ENSG00000005156,23.743713,13.742397,20.998921,28.185083,15.088014,15.643589,25.009605,18.534992,17.700117,14.952582,8.241934,5.598591
ENSG00000005175,44.038054,48.699688,46.355109,37.870376,33.653493,33.91677,37.861301,27.226142,22.423914,41.172976,24.469116,30.335641
ENSG00000005187,0.948476,0.827578,3.186379,1.223618,2.56787,4.288311,0.139213,0.224327,0.309633,19.726992,25.928202,26.839584
ENSG00000005189,7.279756,13.12893,10.951686,10.913616,10.897873,8.428666,9.249441,7.649469,9.130952,9.073603,4.130246,2.034326
ENSG00000005194,67.993444,53.392979,52.854507,55.478715,50.680922,45.977997,52.089885,42.190142,43.464406,51.730169,47.405789,45.235333
ENSG00000005206,22.922849,28.865336,25.04298,32.899511,47.976128,37.296109,30.836834,28.846872,31.401693,34.129774,51.629052,47.39421
ENSG00000005238,9.017819,17.663784,18.098185,7.768728,18.602097,17.960308,4.133831,12.224512,13.03394,5.834827,14.312987,18.821939
ENSG00000005243,56.099566,40.578312,35.678518,17.854186,34.07007,31.348059,5.459093,4.400724,5.932223,13.931014,14.298921,11.846723
ENSG00000005249,8.863761,16.357907,18.35789,10.566338,12.618595,13.516048,0,0.052689,0.321179,7.055241,9.430495,11.421338
ENSG00000005302,27.223182,21.765894,22.898948,43.570399,30.109591,27.662982,18.771171,16.810258,17.922099,6.220612,7.583359,6.708196
ENSG00000005339,19.104124,11.144559,9.306518,19.9818,13.341732,13.274121,17.248908,8.174297,8.110083,24.47136,13.311521,9.344065
ENSG00000005379,0.038035,0,0,3.145347,1.321277,0.771667,0,0,0.008566,0,0,0
ENSG00000005381,0,0.108505,0.021905,0,0,0,0.123187,0.046579,0,0,0,0
ENSG00000005421,0,0.069427,0.084073,1.322698,2.793059,4.428338,0,0,0,0,0.155977,0
ENSG00000005436,11.166907,10.459669,13.101345,12.424044,15.012679,12.915764,16.618635,16.696151,22.555334,14.829054,10.324137,7.393063
ENSG00000005448,24.358453,50.037725,47.481636,29.589294,40.756377,39.013794,36.532461,55.340751,57.984353,26.884061,57.552967,64.730704
ENSG00000005469,9.118815,10.95769,10.787909,14.347574,14.490238,11.128009,6.60432,9.95478,14.504367,8.682115,7.994319,8.519645
ENSG00000005471,0.554392,4.666939,2.843139,0.175849,0.286641,0.23384,0,0.040044,0.014151,0,0.030983,0.027372
ENSG00000005483,41.901456,43.371882,43.547489,22.851161,31.481944,31.80214,15.630539,19.066987,21.313424,19.558823,19.550127,17.60537
ENSG00000005486,78.67762,95.388979,79.057898,53.827326,44.384517,40.384434,15.694949,13.375948,12.911571,43.093922,48.416671,50.607308
ENSG00000005513,0,0.028738,0.046409,0,0.173048,0.200947,0,0,0,0,0,0
