"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","iNKTD1","iNKTD2"
"10675","ENSG00000162521","RBBP4","5928",131.305964,138.986378,238.274116,200.859439
"10676","ENSG00000162522","NHSL3","57648",1.632203,2.473969,0.234841,0.340591
"10677","ENSG00000162526","TSSK3","81629",1.786934,1.995617,2.638026,0.183481
"10678","ENSG00000162542","TMCO4","255104",5.48243,8.958938,13.347565,14.466572
"10679","ENSG00000162543","UBXN10","127733",4.27537,6.010875,1.450099,3.116291
"10680","ENSG00000162545","CAMK2N1","55450",12.900623,11.477523,0.999986,3.951953
"10684","ENSG00000162572","SCNN1D","6339",12.7092,8.348391,0.571818,1.982854
"10685","ENSG00000162576","MXRA8","54587",4.226227,3.951876,0.66765,1.509549
"10686","ENSG00000162585","FAAP20","199990",36.490681,37.642201,54.130698,64.551718
"10687","ENSG00000162591","MEGF6","1953",11.403729,4.078717,0.676773,6.494722
"10688","ENSG00000162592","CCDC27","148870",0.113047,0.059018,0.041522,0.083889
"10689","ENSG00000162594","IL23R","149233",0.546857,0.352656,0.268778,1.362431
"10692","ENSG00000162599","NFIA","4774",1.828454,1.404064,0.570026,0.165008
"10693","ENSG00000162600","OMA1","115209",17.123684,15.846495,16.109439,16.088603
"10694","ENSG00000162601","MYSM1","114803",31.650271,36.434879,14.707179,33.994208
"10695","ENSG00000162604","TM2D1","83941",19.208929,18.75446,31.377764,43.953835
"10696","ENSG00000162607","USP1","7398",36.647151,39.969554,75.36907,51.794124
"10697","ENSG00000162613","FUBP1","8880",162.862702,156.182327,141.695715,161.859209
"10698","ENSG00000162614","NEXN","91624",0.193806,0.29121,0.398333,0.110621
"10699","ENSG00000162616","DNAJB4","11080",9.506024,9.722158,6.597225,8.369586
"10701","ENSG00000162620","LRRIQ3","127255",0.970561,0.892178,1.021242,0.230491
"10703","ENSG00000162623","TYW3","127253",4.103395,7.074454,20.176705,19.129282
"10706","ENSG00000162630","B3GALT2","8707",4.503805,3.965337,12.704733,34.763718
"10708","ENSG00000162636","EEIG2","284611",21.899624,25.183288,19.061852,18.376675
"10709","ENSG00000162639","HENMT1","113802",13.417167,16.598058,35.913543,32.017327
"10711","ENSG00000162642","C1orf52","148423",26.623644,32.426104,22.683688,24.646801
"10712","ENSG00000162643","DNAI3","126820",0.892618,0.078497,0.448546,0.27555
"10713","ENSG00000162645","GBP2","2634",227.228926,267.324484,155.415996,155.748162
"10714","ENSG00000162650","ATXN7L2","127002",6.602647,3.600426,6.100353,6.860427
"10715","ENSG00000162654","GBP4","115361",47.804384,63.285676,99.187583,100.90995
"10716","ENSG00000162664","ZNF326","284695",12.003602,17.120512,14.078904,12.584118
"10719","ENSG00000162676","GFI1","2672",65.967726,89.367871,73.509175,50.829
"10722","ENSG00000162688","AGL","178",6.454143,9.842654,7.019956,9.161577
"10723","ENSG00000162692","VCAM1","7412",0.134288,0.032305,0.053824,0.030502
"10724","ENSG00000162694","EXTL2","2135",16.054553,15.361728,4.039476,2.88453
"10725","ENSG00000162695","SLC30A7","148867",15.956188,24.300763,12.241515,17.026168
"10727","ENSG00000162702","ZNF281","23528",13.635145,15.543699,9.532057,11.71568
"10728","ENSG00000162704","ARPC5","10092",269.003335,327.502759,472.819382,356.33533
"10730","ENSG00000162711","NLRP3","114548",0.805597,1.903172,0.423534,0.797042
"10731","ENSG00000162714","ZNF496","84838",14.594607,13.383098,6.089084,6.845385
"10732","ENSG00000162722","TRIM58","25893",0.115612,0.173392,0.068331,0.220486
"10736","ENSG00000162729","IGSF8","93185",27.071228,25.47686,12.409015,21.174364
"10737","ENSG00000162733","DDR2","4921",0.131705,0.215029,0.040952,0.095933
"10738","ENSG00000162734","PEA15","8682",47.85917,56.385609,67.966387,53.178821
"10739","ENSG00000162735","PEX19","5824",62.70648,50.825885,48.981587,47.079824
"10740","ENSG00000162736","NCSTN","23385",39.215145,47.92818,44.097068,69.693545
"10742","ENSG00000162739","SLAMF6","114836",62.811513,90.495521,54.288907,71.26319
"10744","ENSG00000162746","FCRLB","127943",1.076935,1.29015,0.439175,1.023422
"10747","ENSG00000162755","KLHDC9","126823",4.170948,1.949237,0.129923,0.348231
"10748","ENSG00000162757","C1orf74","148304",2.930909,2.702143,1.316968,0.919896
"10751","ENSG00000162769","FLVCR1","28982",13.233565,11.260678,14.651234,8.600006
"10753","ENSG00000162772","ATF3","467",17.077498,12.727226,13.518114,8.478541
"10754","ENSG00000162775","RBM15","64783",16.960295,15.415582,22.612005,17.967584
"10755","ENSG00000162777","DENND2D","79961",66.59125,89.693464,97.163348,151.825616
"10758","ENSG00000162783","IER5","51278",41.837867,35.312465,38.188358,69.803648
"10759","ENSG00000162804","SNED1","25992",1.977379,11.063386,1.260771,1.394394
"10760","ENSG00000162813","BPNT1","10380",19.930904,22.146075,33.720208,28.473612
"10762","ENSG00000162817","C1orf115","79762",0.08698,0.022698,0.208844,0.129056
"10763","ENSG00000162819","BROX","148362",30.412073,43.014837,26.557886,39.932296
"10764","ENSG00000162825","NBPF20","100288142",17.915935,11.096248,2.625052,6.81918
"10765","ENSG00000162836","ACP6","51205",37.215526,23.770082,12.475712,16.630168
"10768","ENSG00000162851","TFB2M","64216",7.114468,6.937883,10.964721,9.135472
"10769","ENSG00000162852","CNST","163882",19.379532,22.255637,12.547024,20.080502
"10770","ENSG00000162869","PPP1R21","129285",23.889433,31.053874,27.64577,27.116608
"10772","ENSG00000162877","PM20D1","148811",1.001984,1.395607,0.527034,0.036827
"10775","ENSG00000162882","HAAO","23498",0,0.285674,1.465438,0.13484
"10776","ENSG00000162885","B3GALNT2","148789",20.512409,20.720311,6.617682,8.974473
"10777","ENSG00000162889","MAPKAPK2","9261",157.444334,198.990019,98.933985,101.172131
"10779","ENSG00000162892","IL24","11009",0.201149,1.354582,0.111544,0.149407
"10780","ENSG00000162894","FCMR","9214",81.974239,108.279554,52.893827,78.447139
"10781","ENSG00000162896","PIGR","5284",0.119451,0.160278,0.063026,0.168761
"10783","ENSG00000162909","CAPN2","824",99.137324,126.755126,176.789414,227.262687
"10784","ENSG00000162910","MRPL55","128308",81.117081,72.296164,45.999879,53.62789
"10785","ENSG00000162923","WDR26","80232",103.043881,135.581654,75.392838,105.811229
"10786","ENSG00000162924","REL","5966",25.617256,27.113644,12.409982,18.827773
"10787","ENSG00000162927","PUS10","150962",4.28924,5.779571,5.450936,5.731459
"10788","ENSG00000162928","PEX13","5194",13.48211,11.050882,10.886997,8.119235
"10789","ENSG00000162929","SANBR","84542",6.365013,5.517338,9.111741,6.575944
"10790","ENSG00000162931","TRIM17","51127",1.480572,1.533678,0.344094,0.737483
"10791","ENSG00000162944","RFTN2","130132",0.073938,0.099204,0.018203,0.170788
"10792","ENSG00000162946","DISC1","27185",3.835999,4.560763,2.479157,2.75444
"10795","ENSG00000162959","MEMO1","51072",55.182198,55.061966,61.540856,48.568047
"10796","ENSG00000162961","DPY30","84661",55.050229,51.614612,93.477956,83.006676
"10797","ENSG00000162971","TYW5","129450",8.570731,9.157106,5.261084,6.446569
"10798","ENSG00000162972","MAIP1","79568",7.404565,7.339372,15.589611,9.833123
"10800","ENSG00000162976","SLC66A3","130814",31.035118,27.523889,22.657153,43.472781
"10801","ENSG00000162980","ARL5A","26225",33.779939,35.203729,33.253748,39.310401
"10805","ENSG00000162994","CLHC1","130162",13.572315,15.092379,3.600963,5.715997
"10806","ENSG00000162997","PRORSD1P","344405",1.265856,1.66219,0.614807,1.825648
"10808","ENSG00000162999","DUSP19","142679",0.371269,0.233577,0.699202,0.2922
"10809","ENSG00000163001","CFAP36","112942",53.299975,36.234606,24.257715,21.073048
"10810","ENSG00000163002","NUP35","129401",4.901279,7.251876,13.644001,8.414239
"10811","ENSG00000163006","CCDC138","165055",5.153253,6.026786,5.209207,4.338337
"10813","ENSG00000163013","FBXO41","150726",6.682132,11.481748,3.920502,5.16191
"10815","ENSG00000163017","ACTG2","72",0.113902,0,0.087751,0.058776
"10816","ENSG00000163026","WDCP","80304",7.82684,6.84063,9.206457,6.696986
"10817","ENSG00000163029","SMC6","79677",37.285493,48.624335,35.332227,39.145957
"10818","ENSG00000163032","VSNL1","7447",1.347832,0.946885,0.5011,1.345428
"10819","ENSG00000163040","CCDC74A","90557",30.216472,24.957071,4.514169,7.148018
"10820","ENSG00000163041","H3-3A","3020",585.399032,696.966162,801.160168,816.942939
"10821","ENSG00000163046","ANKRD30BL","554226",0.058717,0,0.043425,0.045317
"10822","ENSG00000163050","COQ8A","56997",31.901033,31.221736,13.716374,25.353733
"10823","ENSG00000163053","SLC16A14","151473",1.004491,0.172966,0.430994,0.783765
"10824","ENSG00000163060","TEKT4","150483",0.596615,0.748893,0.181562,0.625214
"10826","ENSG00000163069","SGCB","6443",6.569938,7.163835,10.125506,12.349852
"10827","ENSG00000163071","SPATA18","132671",0.053631,0.027997,0.301252,0.180387
"10831","ENSG00000163082","SGPP2","130367",0.312041,2.070684,0.016467,0.661424
"10834","ENSG00000163093","BBS5","129880",6.259792,4.555968,3.394608,3.739748
"10836","ENSG00000163104","SMARCAD1","56916",15.751579,21.755252,23.123677,24.160506
"10837","ENSG00000163106","HPGDS","27306",0.298444,0.779795,4.78099,3.222144
"10838","ENSG00000163110","PDLIM5","10611",19.502011,18.835722,11.248658,15.134937
"10841","ENSG00000163121","NEURL3","93082",0.386991,0.091533,0,0.093496
"10842","ENSG00000163125","RPRD2","23248",14.013383,19.135412,18.813023,23.060429
"10843","ENSG00000163126","ANKRD23","200539",19.712565,21.419323,9.983271,15.478299
"10844","ENSG00000163131","CTSS","1520",61.437355,76.920701,137.33445,160.383441
"10846","ENSG00000163138","PACRGL","133015",5.503071,5.232123,5.586479,7.033651
"10847","ENSG00000163141","BNIPL","149428",2.171477,0.613653,0.253934,0.266649
"10849","ENSG00000163154","TNFAIP8L2","79626",26.799329,35.595803,56.070766,74.538252
"10850","ENSG00000163155","LYSMD1","388695",1.274011,1.322128,1.174842,0.855604
"10852","ENSG00000163157","TMOD4","29765",0.228616,0.391301,0.215735,0.355586
"10853","ENSG00000163159","VPS72","6944",41.63295,38.181356,50.250118,45.386697
"10854","ENSG00000163161","ERCC3","2071",27.172925,34.121237,46.396287,47.255356
"10855","ENSG00000163162","RNF149","284996",116.685632,104.744915,61.606066,89.619052
"10856","ENSG00000163166","IWS1","55677",33.429321,39.806128,40.053647,47.207186
"10857","ENSG00000163170","BOLA3","388962",22.881896,16.726612,71.775242,44.345869
"10858","ENSG00000163171","CDC42EP3","10602",75.799844,75.217633,51.304063,98.252702
"10859","ENSG00000163191","S100A11","6282",321.513274,610.706924,1335.129905,1324.346542
"10864","ENSG00000163214","DHX57","90957",8.702614,6.986608,8.446485,8.934947
"10868","ENSG00000163219","ARHGAP25","9938",91.241091,123.17197,151.763423,180.569225
"10873","ENSG00000163249","CCNYL1","151195",10.149165,7.506044,5.517914,7.458222
"10874","ENSG00000163251","FZD5","7855",0.78739,0.688276,0.149311,0.126241
"10876","ENSG00000163257","DCAF16","54876",33.673384,40.020098,18.676523,34.278202
"10879","ENSG00000163281","GNPDA2","132789",11.5353,12.711012,14.350897,16.714161
"10884","ENSG00000163291","PAQR3","152559",9.402769,9.104211,7.677112,6.585267
"10885","ENSG00000163293","NIPAL1","152519",0.01361,0.056807,0.254586,0.428967
"10887","ENSG00000163297","ANTXR2","118429",114.303841,129.465965,165.654765,185.845372
"10888","ENSG00000163312","HELQ","113510",15.672942,15.392316,10.672815,13.422827
"10889","ENSG00000163319","MRPS18C","51023",19.42816,23.899829,44.890681,36.440761
"10890","ENSG00000163320","CGGBP1","8545",97.112969,149.976458,86.573936,110.626849
"10891","ENSG00000163322","ABRAXAS1","84142",22.034062,17.89577,8.511617,8.169731
"10892","ENSG00000163328","GPR155","151556",22.64568,26.967119,1.344245,9.732476
"10894","ENSG00000163344","PMVK","10654",28.225771,28.184219,57.96346,51.217459
"10895","ENSG00000163346","PBXIP1","57326",315.740505,362.861682,149.326614,309.906386
"10897","ENSG00000163348","PYGO2","90780",61.235412,68.902776,43.295735,53.625949
"10898","ENSG00000163349","HIPK1","204851",38.657552,48.201709,36.91948,41.712899
"10900","ENSG00000163354","DCST2","127579",5.119665,3.061228,0.217897,0.148435
"10902","ENSG00000163359","COL6A3","1293",0.035213,0.044831,0.243354,0.133077
"10903","ENSG00000163362","INAVA","55765",4.245367,3.146818,2.390399,1.958106
"10904","ENSG00000163374","YY1AP1","55249",58.277524,66.416456,62.957965,69.735899
"10905","ENSG00000163376","KBTBD8","84541",6.329975,5.482622,6.846839,6.587293
"10907","ENSG00000163378","EOGT","285203",4.310218,6.926424,13.368006,18.15687
"10908","ENSG00000163380","LMOD3","56203",0.143996,0.169168,0.026731,0.19334
"10909","ENSG00000163382","NAXE","128240",58.741294,36.166732,51.636792,61.466815
"10910","ENSG00000163389","POGLUT1","56983",26.81068,31.932602,13.330758,19.250971
"10911","ENSG00000163393","SLC22A15","55356",0.692044,0.256771,1.371234,0.532355
"10914","ENSG00000163399","ATP1A1","476",145.214684,151.490759,151.481949,153.767365
"10915","ENSG00000163406","SLC15A2","6565",4.499106,4.472995,0.814357,1.480098
"10916","ENSG00000163412","EIF4E3","317649",41.546622,49.988062,58.758036,44.3929
"10917","ENSG00000163421","PROK2","60675",6.704068,7.079178,20.728452,5.279092
"10919","ENSG00000163428","LRRC58","116064",9.995668,11.938289,16.172129,13.659584
"10922","ENSG00000163435","ELF3","1999",0.511746,1.509164,0.141884,0.07164
"10924","ENSG00000163444","TMEM183A","92703",118.97148,91.995805,56.379189,65.194227
"10925","ENSG00000163449","TMEM169","92691",4.109766,2.017052,0.594987,2.76345
"10926","ENSG00000163453","IGFBP7","3490",0.17585,0.551587,0.867006,0.638789
"10927","ENSG00000163462","TRIM46","80128",11.440375,12.509384,5.459948,10.178438
"10928","ENSG00000163463","KRTCAP2","200185",180.116528,215.8979,219.793896,302.702108
"10929","ENSG00000163464","CXCR1","3577",0.430581,2.344529,1.227294,2.64775
"10930","ENSG00000163466","ARPC2","10109",586.846534,668.40945,961.478707,771.430675
"10932","ENSG00000163468","CCT3","7203",99.00589,99.423883,174.476238,108.75137
"10933","ENSG00000163472","TMEM79","84283",8.176604,9.6528,5.490716,8.398324
"10934","ENSG00000163479","SSR2","6746",400.318636,409.359931,443.212352,503.210719
"10935","ENSG00000163481","RNF25","64320",26.840441,24.174219,18.119841,24.685244
"10936","ENSG00000163482","STK36","27148",23.789065,25.967162,7.936632,5.791257
"10938","ENSG00000163491","NEK10","152110",0.998839,1.783772,0.739714,1.095682
"10939","ENSG00000163492","CCDC141","285025",0.580252,0.560559,0.180319,0.50804
"10943","ENSG00000163507","CIP2A","57650",7.769291,12.01845,39.318451,18.566289
"10944","ENSG00000163508","EOMES","8320",21.821669,17.04998,111.136792,38.425168
"10945","ENSG00000163510","CWC22","57703",14.613682,14.361431,19.296515,23.783803
