"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"10644","ENSG00000162398","CIMAP2","163747",0.406174,0.518739,0.941245,0.881049
"10646","ENSG00000162402","USP24","23358",24.332024,27.018546,40.205238,34.68362
"10648","ENSG00000162408","NOL9","79707",8.774519,12.160539,12.717225,15.805746
"10650","ENSG00000162413","KLHL21","9903",30.661608,29.953764,34.839102,41.828402
"10651","ENSG00000162415","ZSWIM5","57643",0.604696,1.017217,1.397091,1.677859
"10652","ENSG00000162419","GMEB1","10691",4.538853,7.204704,7.339172,12.207895
"10653","ENSG00000162426","SLC45A1","50651",2.153271,0.939115,0.08049,0.102006
"10654","ENSG00000162430","SELENON","57190",11.134225,16.32043,8.322274,8.365258
"10655","ENSG00000162433","AK4","205",9.554378,2.135907,7.407431,2.211419
"10656","ENSG00000162434","JAK1","3716",204.907195,248.03448,260.848529,319.334884
"10657","ENSG00000162437","RAVER2","55225",0.234073,0.139587,0.231329,0.05546
"10658","ENSG00000162438","CTRC","11330",1.99104,3.767529,1.477503,2.681542
"10659","ENSG00000162441","LZIC","84328",31.718505,28.784547,29.83802,30.7576
"10660","ENSG00000162444","RBP7","116362",0.541425,0.237777,0.427408,0
"10662","ENSG00000162458","FBLIM1","54751",3.84472,4.7029,5.243285,5.459798
"10664","ENSG00000162461","SLC25A34","284723",4.690419,3.922726,3.661995,2.471545
"10665","ENSG00000162482","AKR7A3","22977",0.991403,0.690695,0.712259,0.418436
"10666","ENSG00000162490","DRAXIN","374946",3.386032,1.51522,2.704078,0.492217
"10669","ENSG00000162496","DHRS3","9249",19.166021,10.184571,32.913728,12.56412
"10670","ENSG00000162510","MATN1","4146",0.836415,0.354001,0.125501,0.444247
"10671","ENSG00000162511","LAPTM5","7805",1114.589595,1304.03996,1643.288867,1688.693552
"10672","ENSG00000162512","SDC3","9672",0.381071,0.198444,0.028148,0.114913
"10673","ENSG00000162517","PEF1","553115",47.63428,40.512284,48.430969,53.951863
"10674","ENSG00000162520","SYNC","81493",0.218998,0.045862,0.055043,0.097192
"10675","ENSG00000162521","RBBP4","5928",131.305964,138.986378,140.119186,191.122568
"10676","ENSG00000162522","NHSL3","57648",1.632203,2.473969,0.866543,0.871266
"10677","ENSG00000162526","TSSK3","81629",1.786934,1.995617,3.578919,1.175813
"10678","ENSG00000162542","TMCO4","255104",5.48243,8.958938,16.360767,18.19018
"10679","ENSG00000162543","UBXN10","127733",4.27537,6.010875,2.843292,3.355364
"10680","ENSG00000162545","CAMK2N1","55450",12.900623,11.477523,13.27707,4.895081
"10682","ENSG00000162552","WNT4","54361",0.459068,0.219602,0.048117,0
"10684","ENSG00000162572","SCNN1D","6339",12.7092,8.348391,11.110758,2.961761
"10685","ENSG00000162576","MXRA8","54587",4.226227,3.951876,1.114915,1.039387
"10686","ENSG00000162585","FAAP20","199990",36.490681,37.642201,47.629242,51.541958
"10687","ENSG00000162591","MEGF6","1953",11.403729,4.078717,25.432805,10.814549
"10688","ENSG00000162592","CCDC27","148870",0.113047,0.059018,0.035542,0.12509
"10689","ENSG00000162594","IL23R","149233",0.546857,0.352656,0.326778,0.287472
"10692","ENSG00000162599","NFIA","4774",1.828454,1.404064,0.708659,0.435899
"10693","ENSG00000162600","OMA1","115209",17.123684,15.846495,23.186049,20.4556
"10694","ENSG00000162601","MYSM1","114803",31.650271,36.434879,59.425161,47.381851
"10695","ENSG00000162604","TM2D1","83941",19.208929,18.75446,35.15678,44.848492
"10696","ENSG00000162607","USP1","7398",36.647151,39.969554,35.908551,36.309264
"10697","ENSG00000162613","FUBP1","8880",162.862702,156.182327,234.636389,245.548139
"10698","ENSG00000162614","NEXN","91624",0.193806,0.29121,0.175757,0.205722
"10699","ENSG00000162616","DNAJB4","11080",9.506024,9.722158,8.707821,9.625141
"10701","ENSG00000162620","LRRIQ3","127255",0.970561,0.892178,0.418849,0.452609
"10703","ENSG00000162623","TYW3","127253",4.103395,7.074454,7.224128,13.571742
"10705","ENSG00000162627","SNX7","51375",0.13933,0.388262,0.408743,0
"10706","ENSG00000162630","B3GALT2","8707",4.503805,3.965337,13.045363,16.95827
"10708","ENSG00000162636","EEIG2","284611",21.899624,25.183288,32.544293,26.772851
"10709","ENSG00000162639","HENMT1","113802",13.417167,16.598058,22.846505,32.405081
"10711","ENSG00000162642","C1orf52","148423",26.623644,32.426104,30.088452,32.981151
"10712","ENSG00000162643","DNAI3","126820",0.892618,0.078497,0.828932,0.166365
"10713","ENSG00000162645","GBP2","2634",227.228926,267.324484,262.352621,268.818071
"10714","ENSG00000162650","ATXN7L2","127002",6.602647,3.600426,5.184593,6.138669
"10715","ENSG00000162654","GBP4","115361",47.804384,63.285676,84.570361,128.448876
"10716","ENSG00000162664","ZNF326","284695",12.003602,17.120512,16.911552,21.370967
"10719","ENSG00000162676","GFI1","2672",65.967726,89.367871,132.094614,115.056164
"10722","ENSG00000162688","AGL","178",6.454143,9.842654,6.976229,9.282697
"10723","ENSG00000162692","VCAM1","7412",0.134288,0.032305,0.116292,0.111317
"10724","ENSG00000162694","EXTL2","2135",16.054553,15.361728,5.571782,2.112512
"10725","ENSG00000162695","SLC30A7","148867",15.956188,24.300763,19.867572,17.851746
"10727","ENSG00000162702","ZNF281","23528",13.635145,15.543699,17.151588,11.084764
"10728","ENSG00000162704","ARPC5","10092",269.003335,327.502759,223.036751,274.117015
"10730","ENSG00000162711","NLRP3","114548",0.805597,1.903172,1.266835,1.771037
"10731","ENSG00000162714","ZNF496","84838",14.594607,13.383098,11.931227,8.373366
"10732","ENSG00000162722","TRIM58","25893",0.115612,0.173392,0.029571,0.331645
"10736","ENSG00000162729","IGSF8","93185",27.071228,25.47686,19.065926,16.787934
"10737","ENSG00000162733","DDR2","4921",0.131705,0.215029,0.087201,0.030638
"10738","ENSG00000162734","PEA15","8682",47.85917,56.385609,26.980376,29.161595
"10739","ENSG00000162735","PEX19","5824",62.70648,50.825885,51.624876,50.191361
