"","Gene","SYMBOL","ENTREZID","iNKTD2_D131","iNKTD1","iNKTD2"
"175","ENSG00000007255","TRAPPC6A","79090",105.047357,54.212108,110.541319
"176","ENSG00000007264","MATK","4145",89.030535,49.738979,51.612732
"178","ENSG00000007312","CD79B","974",22.474344,35.441363,39.808324
"180","ENSG00000007341","ST7L","54879",20.909695,9.42877,8.735969
"181","ENSG00000007350","TKTL1","8277",0.804321,2.273661,1.148355
"183","ENSG00000007376","RPUSD1","113000",18.443389,29.82734,21.674877
"184","ENSG00000007384","RHBDF1","64285",2.728188,0,0.10889
"185","ENSG00000007392","LUC7L","55692",88.949417,29.786186,47.493924
"186","ENSG00000007402","CACNA2D2","9254",3.063736,0.112682,0.380022
"187","ENSG00000007516","BAIAP3","8938",89.286593,0.31135,2.792503
"188","ENSG00000007520","TSR3","115939",51.921837,46.236921,55.416504
"189","ENSG00000007541","PIGQ","9091",34.926282,18.063996,22.151628
"190","ENSG00000007545","CRAMP1","57585",19.344205,11.270261,18.283945
"191","ENSG00000007866","TEAD3","7005",2.993733,0.316193,1.021072
"193","ENSG00000007923","DNAJC11","55735",21.186235,22.361739,20.785364
"194","ENSG00000007933","FMO3","2328",1.669521,0.266636,0
"195","ENSG00000007944","MYLIP","29116",73.663406,24.693626,29.391597
"197","ENSG00000007968","E2F2","1870",4.290326,46.781084,27.238257
"198","ENSG00000008018","PSMB1","5689",135.918063,250.939213,190.480427
"199","ENSG00000008056","SYN1","6853",0.966059,0,0.437644
"200","ENSG00000008083","JARID2","3720",24.158546,19.64023,24.401848
"201","ENSG00000008086","CDKL5","6792",4.262059,1.565884,1.655472
"203","ENSG00000008128","CDK11A","728642",185.100002,61.108838,152.236555
"204","ENSG00000008130","NADK","65220",100.709355,68.243617,68.129161
"207","ENSG00000008226","DLEC1","9940",2.742848,0.291141,1.987061
"208","ENSG00000008256","CYTH3","9265",4.631715,0.656399,1.263036
"209","ENSG00000008277","ADAM22","53616",1.327979,0.480301,0.553226
"210","ENSG00000008282","SYPL1","6856",17.429226,13.822709,24.711171
"211","ENSG00000008283","CYB561","1534",104.429508,14.33396,86.997736
"212","ENSG00000008294","SPAG9","9043",42.533861,29.032709,30.000141
"213","ENSG00000008300","CELSR3","1951",4.024073,2.224712,2.485228
"214","ENSG00000008311","AASS","10157",3.058383,0.771207,0.994149
"216","ENSG00000008324","SS18L2","51188",64.941178,87.733331,77.562303
"217","ENSG00000008382","MPND","84954",12.834008,16.219856,15.819883
"218","ENSG00000008394","MGST1","4257",4.234063,0.953567,0.884583
"219","ENSG00000008405","CRY1","1407",25.975476,17.879479,18.776297
"221","ENSG00000008441","NFIX","4784",0.84065,0.061419,0.013047
"222","ENSG00000008513","ST3GAL1","6482",116.136892,80.751365,83.747333
"223","ENSG00000008516","MMP25","64386",325.497411,161.829206,427.605588
"224","ENSG00000008517","IL32","9235",2583.314303,5554.275056,7930.317335
"225","ENSG00000008710","PKD1","5310",138.299187,35.666864,81.492971
"226","ENSG00000008735","MAPK8IP2","23542",0.256894,0.094954,0.239027
"227","ENSG00000008838","MED24","9862",58.345329,48.132228,71.301666
"228","ENSG00000008853","RHOBTB2","23221",3.865803,3.016266,3.479067
"229","ENSG00000008869","HEATR5B","54497",25.040244,11.609195,18.834122
"230","ENSG00000008952","SEC62","7095",81.158733,54.699301,65.727582
"231","ENSG00000008988","RPS20","6224",1739.667862,1681.363519,1715.545337
"232","ENSG00000009307","CSDE1","7812",318.620721,206.520527,210.561775
"233","ENSG00000009335","UBE3C","9690",40.15554,38.301297,42.430637
"234","ENSG00000009413","REV3L","5980",26.212031,20.707035,24.720792
"235","ENSG00000009694","TENM1","10178",0.058466,0.008035,0.021511
"238","ENSG00000009765","IYD","389434",0.754053,0.080792,0.624033
"239","ENSG00000009780","FAM76A","199870",12.480924,8.029356,10.863485
"240","ENSG00000009790","TRAF3IP3","80342",472.003762,369.467925,449.894811
"241","ENSG00000009830","POMT2","29954",7.376282,2.860805,4.455045
"242","ENSG00000009844","VTA1","51534",27.01072,42.485332,37.078404
"243","ENSG00000009950","MLXIPL","51085",2.133008,0.304753,0.572532
"244","ENSG00000009954","BAZ1B","9031",46.117466,73.278636,58.281709
"245","ENSG00000010017","RANBP9","10048",40.822179,53.218085,48.260958
"246","ENSG00000010030","ETV7","51513",3.60034,17.445375,4.069229
"247","ENSG00000010072","SPRTN","83932",9.789474,12.035868,9.636197
"248","ENSG00000010165","METTL13","51603",28.879828,36.206822,27.891624
"249","ENSG00000010219","DYRK4","8798",32.841363,30.252928,36.265704
"250","ENSG00000010244","ZNF207","7756",177.396383,219.565534,193.616389
"251","ENSG00000010256","UQCRC1","7384",80.416538,129.412996,82.492388
"252","ENSG00000010270","STARD3NL","83930",32.414807,60.109581,36.695103
"253","ENSG00000010278","CD9","928",23.433393,4.102667,18.18842
"255","ENSG00000010292","NCAPD2","9918",66.787885,106.063937,81.021816
"256","ENSG00000010295","IFFO1","25900",52.850764,19.430984,36.042205
"257","ENSG00000010310","GIPR","2696",83.052302,4.375576,9.949412
"258","ENSG00000010318","PHF7","51533",18.618118,12.310737,8.925294
"259","ENSG00000010319","SEMA3G","56920",0.039837,0.032764,0
"260","ENSG00000010322","NISCH","11188",149.064166,37.046896,64.432775
"262","ENSG00000010361","FUZ","80199",27.14186,8.229242,7.550566
"263","ENSG00000010379","SLC6A13","6540",0.223357,0.059906,0
"264","ENSG00000010404","IDS","3423",181.257397,113.347394,136.988121
"266","ENSG00000010539","ZNF200","7752",16.641285,8.571885,11.922489
"267","ENSG00000010610","CD4","920",163.413868,72.295111,231.097145
"268","ENSG00000010626","LRRC23","10233",5.676232,2.410214,5.157737
"270","ENSG00000010704","HFE","3077",3.618689,2.6587,0.974473
"271","ENSG00000010803","SCMH1","22955",22.282269,17.374187,21.140326
"272","ENSG00000010810","FYN","2534",721.970955,221.778289,261.487487
"273","ENSG00000010818","HIVEP2","3097",27.271769,9.624237,10.539082
"275","ENSG00000011007","ELOA","6924",20.317403,32.387409,29.759945
"276","ENSG00000011009","LYPLA2","11313",43.223236,79.671101,75.549212
"277","ENSG00000011021","CLCN6","1185",11.59072,9.378346,10.404378
"278","ENSG00000011028","MRC2","9902",14.997155,5.734412,10.485982
"279","ENSG00000011052","NME1-NME2","654364",1.012051,11.079348,4.484415
"281","ENSG00000011105","TSPAN9","10867",5.846758,0.025179,0.050565
"282","ENSG00000011114","BTBD7","55727",9.034862,9.257826,9.667036
"283","ENSG00000011132","APBA3","9546",130.799083,44.019136,88.420739
"284","ENSG00000011143","MKS1","54903",8.85163,9.24456,5.96257
"285","ENSG00000011198","ABHD5","51099",5.176829,18.146098,10.712238
"286","ENSG00000011201","ANOS1","3730",0.0305,0.025109,0
"287","ENSG00000011243","AKAP8L","26993",184.232428,43.275214,83.858395
"288","ENSG00000011258","MBTD1","54799",18.414027,5.914391,9.441323
"289","ENSG00000011260","UTP18","51096",31.010965,45.039195,43.85987
"290","ENSG00000011275","RNF216","54476",36.816767,14.638806,26.183739
"291","ENSG00000011295","TTC19","54902",25.365171,16.925438,24.079449
"292","ENSG00000011304","PTBP1","5725",144.000899,232.332415,207.523263
"293","ENSG00000011332","DPF1","8193",1.777759,0.128699,0
"294","ENSG00000011347","SYT7","9066",0.080457,0,0.014764
"295","ENSG00000011376","LARS2","23395",3.791392,12.848135,6.803823
"296","ENSG00000011405","PIK3C2A","5286",14.428302,7.757595,12.361154
"297","ENSG00000011422","PLAUR","5329",27.960841,6.989635,8.786598
"298","ENSG00000011426","ANLN","54443",6.559676,31.184947,17.746321
"299","ENSG00000011451","WIZ","58525",20.999288,17.504722,26.399761
"300","ENSG00000011454","RABGAP1","23637",24.753285,15.596496,20.463134
"302","ENSG00000011478","QPCTL","54814",14.970864,6.849888,7.462668
"303","ENSG00000011485","PPP5C","5536",92.340077,93.618421,114.077319
"304","ENSG00000011523","CEP68","23177",25.391963,2.318631,7.769092
"305","ENSG00000011566","MAP4K3","8491",11.072737,2.883992,4.935646
"306","ENSG00000011590","ZBTB32","27033",6.035154,22.662334,4.931762
"307","ENSG00000011600","TYROBP","7305",126.492766,73.950979,205.010341
"308","ENSG00000011638","LDAF1","57146",24.550646,9.226164,13.055817
"310","ENSG00000012048","BRCA1","672",6.952729,39.873114,14.681676
"311","ENSG00000012061","ERCC1","2067",53.370804,50.243006,51.487639
"312","ENSG00000012124","CD22","933",0,0.02126,0.246935
"313","ENSG00000012171","SEMA3B","7869",1.372962,0.050266,0.032277
"314","ENSG00000012174","MBTPS2","51360",5.100264,4.568294,6.491632
"315","ENSG00000012211","PRICKLE3","4007",14.068163,11.032615,9.170488
"316","ENSG00000012223","LTF","4057",3.739872,0.419138,0.036256
"317","ENSG00000012232","EXTL3","2137",18.969825,12.603429,12.968713
"319","ENSG00000012660","ELOVL5","60481",143.234334,146.727658,142.328666
"322","ENSG00000012822","CALCOCO1","57658",310.161695,49.758583,117.10635
"324","ENSG00000012983","MAP4K5","11183",43.740915,23.88402,18.514011
"325","ENSG00000013016","EHD3","30845",1.858578,2.049208,1.829328
"326","ENSG00000013275","PSMC4","5704",64.543211,104.881154,111.670579
"327","ENSG00000013288","MAN2B2","23324",32.493202,25.711775,32.258689
"328","ENSG00000013293","SLC7A14","57709",0.163936,0.05213,0.062028
"329","ENSG00000013297","CLDN11","5010",6.764209,0.090943,0
"330","ENSG00000013306","SLC25A39","51629",85.418392,71.439453,73.47852
"331","ENSG00000013364","MVP","9961",171.530934,112.78018,170.784028
"332","ENSG00000013374","NUB1","51667",104.423522,67.102138,96.446437
"333","ENSG00000013375","PGM3","5238",37.215149,18.271739,7.988387
"334","ENSG00000013392","RWDD2A","112611",6.611792,1.352192,2.160786
"335","ENSG00000013441","CLK1","1195",358.882472,92.09328,162.622872
"336","ENSG00000013503","POLR3B","55703",3.294515,3.534747,3.633778
"337","ENSG00000013523","ANGEL1","23357",15.499655,4.189216,11.376864
"338","ENSG00000013561","RNF14","9604",33.462604,25.911528,34.922012
"339","ENSG00000013563","DNASE1L1","1774",28.554511,18.56387,26.271186
"340","ENSG00000013573","DDX11","1663",100.881096,80.289325,84.457904
"341","ENSG00000013583","HEBP1","50865",16.603865,3.045912,11.110497
"343","ENSG00000013619","MAMLD1","10046",8.068953,5.379172,7.231004
"344","ENSG00000013725","CD6","923",501.061558,363.285768,512.134194
"345","ENSG00000013810","TACC3","10460",97.093932,170.597833,129.236461
"346","ENSG00000014123","UFL1","23376",25.468045,14.502193,22.291588
"347","ENSG00000014138","POLA2","23649",12.086047,43.310856,22.347248
"349","ENSG00000014216","CAPN1","823",73.202477,110.783201,120.873843
"351","ENSG00000014641","MDH1","4190",93.409437,167.14236,132.591869
"352","ENSG00000014824","SLC30A9","10463",23.242181,23.185121,19.198605
"353","ENSG00000014914","MTMR11","10903",6.587329,0.59078,2.856059
"354","ENSG00000014919","COX15","1355",25.661957,21.117389,18.861635
"355","ENSG00000015133","CCDC88C","440193",128.589912,79.819158,114.232103
"356","ENSG00000015153","YAF2","10138",21.870408,35.240247,33.69625
"357","ENSG00000015171","ZMYND11","10771",37.943687,30.586687,42.127382
"358","ENSG00000015285","WAS","7454",134.584764,193.711587,237.67456
"360","ENSG00000015475","BID","637",27.643063,40.856259,31.384877
"363","ENSG00000015532","XYLT2","64132",24.036591,13.790372,21.050495
"364","ENSG00000015568","RGPD5","84220",22.022097,3.566611,1.90002
"366","ENSG00000015676","NUDCD3","23386",42.737779,32.467755,40.906579
"368","ENSG00000016391","CHDH","55349",9.10042,8.454449,27.808331
"372","ENSG00000016864","GLT8D1","55830",68.446501,41.047758,61.983557
"373","ENSG00000017260","ATP2C1","27032",47.95004,42.67962,43.311044
"374","ENSG00000017427","IGF1","3479",13.507872,0.70876,3.851587
"375","ENSG00000017483","SLC38A5","92745",23.195759,54.097726,43.656979
"376","ENSG00000017797","RALBP1","10928",53.98459,52.923054,43.020333
"377","ENSG00000018189","RUFY3","22902",16.965124,3.150235,5.30198
"379","ENSG00000018280","SLC11A1","6556",0.470189,0.144053,0.308408
"380","ENSG00000018408","WWTR1","25937",18.669828,1.399882,2.383004
"381","ENSG00000018510","AGPS","8540",20.906804,30.738852,25.834725
"383","ENSG00000018610","STEEP1","63932",24.966431,25.516144,25.592279
"385","ENSG00000018699","TTC27","55622",5.347407,8.533849,8.947962
"386","ENSG00000018869","ZNF582","147948",1.980587,1.207638,2.197128
"388","ENSG00000019144","PHLDB1","23187",5.741441,0.204685,0.741033
"391","ENSG00000019485","PRDM11","56981",2.131154,2.574237,2.900398
"394","ENSG00000019582","CD74","972",626.021117,2250.121382,2502.990357
"396","ENSG00000019995","ZRANB1","54764",17.925487,9.625826,12.244043
"397","ENSG00000020129","NCDN","23154",213.319469,18.30199,21.739077
"398","ENSG00000020181","ADGRA2","25960",0.102789,0.067448,0.088075
"400","ENSG00000020256","ZFP64","55734",5.799547,6.873149,9.864028
"401","ENSG00000020426","MNAT1","4331",41.02918,52.830197,44.945416
"402","ENSG00000020577","SAMD4A","23034",2.316201,0.026501,0.129103
"403","ENSG00000020633","RUNX3","864",172.907796,130.91248,165.269997
"404","ENSG00000020922","MRE11","4361",18.965379,27.612234,16.348732
"405","ENSG00000021300","PLEKHB1","58473",4.220206,2.059881,2.277877
"406","ENSG00000021355","SERPINB1","1992",43.25405,94.481805,49.942433
"407","ENSG00000021461","CYP3A43","64816",0.242336,0,0.042689
"409","ENSG00000021574","SPAST","6683",11.911692,16.793567,16.729049
"410","ENSG00000021645","NRXN3","9369",0.1231,0,0.024686
"411","ENSG00000021762","OSBPL5","114879",13.066407,0.799118,5.194871
"412","ENSG00000021776","AQR","9716",12.997231,16.892147,23.457499
"413","ENSG00000021826","CPS1","1373",1.225082,0.827615,0.68213
"415","ENSG00000022267","FHL1","2273",16.173008,5.070569,9.282913
"416","ENSG00000022277","RTF2","51507",86.663574,153.780744,177.247605
"419","ENSG00000022567","SLC45A4","57210",24.541111,9.306824,18.501507
"420","ENSG00000022840","RNF10","9921",147.497185,128.065591,169.34431
"421","ENSG00000022976","ZNF839","55778",25.484686,8.400116,15.101448
"422","ENSG00000023041","ZDHHC6","64429",64.500668,42.449544,47.415243
"423","ENSG00000023171","GRAMD1B","57476",125.037729,47.597855,84.694642
"424","ENSG00000023228","NDUFS1","4719",30.739036,53.238547,46.269824
"425","ENSG00000023287","RB1CC1","9821",42.749702,17.651302,22.638541
"426","ENSG00000023318","ERP44","23071",15.970798,19.365755,24.184119
"427","ENSG00000023330","ALAS1","211",29.332701,48.978118,44.034049
"428","ENSG00000023445","BIRC3","330",99.487658,29.6675,102.175298
"429","ENSG00000023516","AKAP11","11215",23.344024,13.141518,21.910448
"430","ENSG00000023572","GLRX2","51022",20.810516,31.227322,23.462781
"431","ENSG00000023608","SNAPC1","6617",9.209391,4.058037,4.867801
"432","ENSG00000023697","DERA","51071",9.505336,19.274369,19.145154
"433","ENSG00000023734","STRAP","11171",57.293883,89.134524,81.003328
"434","ENSG00000023839","ABCC2","1244",1.901607,0.102191,0.323359
"435","ENSG00000023892","DEF6","50619",185.238146,155.547594,234.117233
"436","ENSG00000023902","PLEKHO1","51177",163.762458,149.962843,181.054634
"437","ENSG00000023909","GCLM","2730",24.301635,62.636916,36.165382
"438","ENSG00000024048","UBR2","23304",35.615318,17.02258,23.817049
"440","ENSG00000024526","DEPDC1","55635",3.520727,12.969401,4.88244
"441","ENSG00000024862","CCDC28A","25901",39.10984,36.032501,41.024366
"442","ENSG00000025039","RRAGD","58528",4.249927,0.778894,0.262626
"443","ENSG00000025156","HSF2","3298",10.132022,12.986694,8.753309
"444","ENSG00000025293","PHF20","51230",48.914241,25.06765,40.563473
"445","ENSG00000025423","HSD17B6","8630",1.379025,1.590683,0.719921
"446","ENSG00000025434","NR1H3","10062",8.425145,5.314463,4.760432
"447","ENSG00000025708","TYMP","1890",63.352546,35.837654,67.54999
"448","ENSG00000025770","NCAPH2","29781",45.531147,82.865813,55.204506
"449","ENSG00000025772","TOMM34","10953",19.183433,17.642865,12.980024
"450","ENSG00000025796","SEC63","11231",52.088023,36.315413,36.017949
"451","ENSG00000025800","KPNA6","23633",20.096114,21.14348,21.223409
"452","ENSG00000026025","VIM","7431",738.764472,1698.142741,1700.533305
"453","ENSG00000026036","RTEL1-TNFRSF6B","100533107",8.918722,1.568762,2.832764
"454","ENSG00000026103","FAS","355",56.323968,83.642344,88.643205
"455","ENSG00000026297","RNASET2","8635",213.759793,29.787998,94.713713
"456","ENSG00000026508","CD44","960",400.875918,189.825507,474.452053
"457","ENSG00000026559","KCNG1","3755",0.564434,0.025951,0.26425
"458","ENSG00000026652","AGPAT4","56895",5.31385,3.641981,2.185013
"459","ENSG00000026751","SLAMF7","57823",318.498363,153.409473,239.89449
"460","ENSG00000026950","BTN3A1","11119",322.592035,63.283128,136.79144
"461","ENSG00000027001","MIPEP","4285",3.999005,4.165609,7.463989
"462","ENSG00000027075","PRKCH","5583",115.366881,147.839917,134.690169
"463","ENSG00000027644","INSRR","3645",1.46951,0,0.014011
"464","ENSG00000027697","IFNGR1","3459",111.471662,57.985058,92.873957
"465","ENSG00000027847","B4GALT7","11285",19.914538,8.709081,22.64805
"466","ENSG00000027869","SH2D2A","9047",231.585168,160.284326,135.760012
"467","ENSG00000028116","VRK2","7444",8.194148,20.6643,17.666737
"468","ENSG00000028137","TNFRSF1B","7133",212.21781,221.728273,250.472473
"469","ENSG00000028203","VEZT","55591",51.156379,31.739516,35.896383
"470","ENSG00000028277","POU2F2","5452",20.869232,14.863809,26.47947
"471","ENSG00000028310","BRD9","65980",55.594566,24.550439,39.254474
"472","ENSG00000028528","SNX1","6642",101.136331,98.455382,115.902014
"473","ENSG00000028839","TBPL1","9519",43.049,51.739479,45.836168
"474","ENSG00000029153","BMAL2","56938",11.270685,28.070277,27.553455
"475","ENSG00000029363","BCLAF1","9774",94.033857,100.540474,104.226046
