"","Gene","SYMBOL","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"31","ENSG00000002919","SNX11","29916",8.068458,13.349801,12.547237,10.906981
"33","ENSG00000003056","M6PR","4074",133.133709,151.048636,155.028501,154.483025
"34","ENSG00000003096","KLHL13","90293",0.046473,0,0.070976,0.184132
"35","ENSG00000003137","CYP26B1","56603",0.045819,0.040283,0.019665,0.515819
"36","ENSG00000003147","ICA1","3382",1.21544,3.044955,3.144354,5.627215
"37","ENSG00000003249","DBNDD1","79007",0.117003,0.041692,0.940196,1.181556
"38","ENSG00000003393","ALS2","57679",6.382645,5.815813,10.629273,6.672555
"39","ENSG00000003400","CASP10","843",8.53536,14.194056,25.851933,19.442504
"40","ENSG00000003402","CFLAR","8837",291.170202,250.39127,220.351193,190.40097
"41","ENSG00000003436","TFPI","7035",6.541149,5.41012,13.431786,9.88924
"42","ENSG00000003509","NDUFAF7","55471",28.291526,27.276617,29.76151,21.345132
"43","ENSG00000003756","RBM5","10181",221.07667,263.211977,260.390556,224.790035
"46","ENSG00000004059","ARF5","381",168.919835,162.594808,183.856564,168.336336
"47","ENSG00000004139","SARM1","23098",17.892312,18.756982,12.914712,19.084507
"48","ENSG00000004142","POLDIP2","26073",25.918557,34.068171,27.803819,29.551928
"49","ENSG00000004399","PLXND1","23129",345.654995,246.971306,142.101265,200.771241
"50","ENSG00000004455","AK2","204",65.343726,63.451042,73.133676,84.892238
"51","ENSG00000004468","CD38","952",13.178594,23.714882,29.443395,10.197861
"52","ENSG00000004478","FKBP4","2288",28.615588,20.557534,50.88562,34.802433
"53","ENSG00000004487","KDM1A","23028",37.979169,30.054793,49.783889,43.510089
"54","ENSG00000004534","RBM6","10180",165.284917,177.637022,236.330602,193.471091
"55","ENSG00000004660","CAMKK1","84254",6.409646,4.131401,9.416675,6.216471
"56","ENSG00000004700","RECQL","5965",52.203029,71.412358,67.755593,64.823706
"57","ENSG00000004766","VPS50","55610",16.419359,18.775975,18.840928,16.594938
"59","ENSG00000004777","ARHGAP33","115703",57.636535,61.05375,51.213617,58.889102
"60","ENSG00000004779","NDUFAB1","4706",47.041436,51.626575,46.489715,57.649702
"61","ENSG00000004799","PDK4","5166",0.052014,0,0.156378,0.530203
"63","ENSG00000004838","ZMYND10","51364",2.928093,1.258608,4.932858,7.184748
"64","ENSG00000004846","ABCB5","340273",0.173424,0.128257,0,0.12951
"66","ENSG00000004864","SLC25A13","10165",9.247688,5.155738,6.41835,6.207118
"68","ENSG00000004897","CDC27","996",42.372651,42.284476,50.437437,44.750791
"71","ENSG00000004961","HCCS","3052",18.051512,17.581767,22.640614,19.89797
"72","ENSG00000004975","DVL2","1856",43.021197,29.033572,37.183684,38.405068
"74","ENSG00000005007","UPF1","5976",41.554944,39.527017,53.62132,55.060114
"75","ENSG00000005020","SKAP2","8935",20.398803,15.812014,14.616545,8.387209
"76","ENSG00000005022","SLC25A5","292",134.508803,156.060811,150.52949,137.746744
"77","ENSG00000005059","MCUB","55013",102.991916,101.220402,139.997321,127.356487
"79","ENSG00000005075","POLR2J","5439",62.876107,61.063511,54.716234,53.380093
"80","ENSG00000005100","DHX33","56919",11.03883,9.261127,9.542099,12.157578
"81","ENSG00000005102","MEOX1","4222",0,0.243462,1.035869,1.540799
"83","ENSG00000005156","LIG3","3980",14.555589,21.434414,28.500743,16.374539
"84","ENSG00000005175","RPAP3","79657",23.795668,27.551712,26.999248,25.667105
"85","ENSG00000005187","ACSM3","6296",0.827607,0.550884,3.414827,0.890734
"86","ENSG00000005189","REXO5","81691",3.14046,4.486205,5.996156,6.348317
"87","ENSG00000005194","CIAPIN1","57019",29.062295,22.030165,26.226039,26.839125
"88","ENSG00000005206","SPPL2B","56928",115.153821,90.715681,129.940477,112.660589
"89","ENSG00000005238","ATOSB","80256",32.644329,28.069841,30.778754,18.168646
"90","ENSG00000005243","COPZ2","51226",8.906217,6.801367,1.533819,5.996229
"91","ENSG00000005249","PRKAR2B","5577",0.544448,0.304639,0.807564,0.743626
"92","ENSG00000005302","MSL3","10943",79.293022,92.888027,69.634522,80.98351
"93","ENSG00000005339","CREBBP","1387",63.387088,71.754864,39.362535,44.642805
"94","ENSG00000005379","TSPOAP1","9256",62.706282,64.530129,83.580302,110.357678
"97","ENSG00000005436","GCFC2","6936",13.407222,16.583309,15.114587,17.487457
"98","ENSG00000005448","WDR54","84058",65.318174,58.094531,49.347482,90.87708
"99","ENSG00000005469","CROT","54677",13.081334,16.404049,11.729737,8.595538
"101","ENSG00000005483","KMT2E","55904",123.49635,107.465994,111.929113,102.987905
"102","ENSG00000005486","RHBDD2","57414",84.291989,94.247851,74.116042,65.648854
"103","ENSG00000005513","SOX8","30812",0.53087,0.244716,1.812237,1.527908
"104","ENSG00000005700","IBTK","25998",19.187541,27.961057,21.045936,21.980805
"105","ENSG00000005801","ZNF195","7748",13.203951,16.144954,21.336045,17.646988
"106","ENSG00000005810","MYCBP2","23077",99.441946,70.12393,106.595124,94.087642
"107","ENSG00000005812","FBXL3","26224",26.396393,34.100127,33.479506,32.666665
"108","ENSG00000005844","ITGAL","3683",740.688647,652.404627,476.826449,643.35458
"109","ENSG00000005882","PDK2","5164",21.112476,30.473266,16.605356,18.871197
"110","ENSG00000005884","ITGA3","3675",21.122698,16.361578,24.173552,37.313167
"111","ENSG00000005889","ZFX","7543",20.189601,29.272935,25.303295,29.286463
"112","ENSG00000005893","LAMP2","3920",55.115389,56.375895,61.058024,66.073486
"113","ENSG00000005961","ITGA2B","3674",0.424247,0.064322,1.74402,3.829678
"115","ENSG00000006007","GDE1","51573",62.026192,82.598273,58.998235,59.289513
"116","ENSG00000006015","REX1BD","55049",97.976968,83.10823,108.786526,118.116472
"118","ENSG00000006025","OSBPL7","114881",159.659005,88.714913,93.440773,88.798536
"119","ENSG00000006042","TMEM98","26022",4.160399,7.992057,11.817264,17.694857
"120","ENSG00000006047","YBX2","51087",0.991852,0.235156,1.547783,0.69439
"122","ENSG00000006062","MAP3K14","9020",33.313315,30.342506,26.831411,24.047846
"125","ENSG00000006118","TMEM132A","54972",1.314137,1.291679,3.656509,47.638991
"126","ENSG00000006125","AP2B1","163",116.552841,126.633292,107.482043,105.902217
"128","ENSG00000006194","ZNF263","10127",33.718333,27.994668,32.975161,26.614491
"129","ENSG00000006210","CX3CL1","6376",0,0.013698,0.145642,0.083582
"130","ENSG00000006282","SPATA20","64847",21.448891,30.122152,41.925828,44.693852
"131","ENSG00000006283","CACNA1G","8913",0.075489,0,0.15633,0.909636
"132","ENSG00000006327","TNFRSF12A","51330",8.416394,5.455745,22.800522,36.115223
"134","ENSG00000006432","MAP3K9","4293",4.531009,2.46707,7.044796,5.89182
"135","ENSG00000006451","RALA","5898",51.503948,53.748504,52.227974,51.068329
"136","ENSG00000006453","BAIAP2L1","55971",0.625566,0.270673,3.898774,0.908217
"137","ENSG00000006459","KDM7A","80853",54.391738,53.536033,47.662425,31.048711
"138","ENSG00000006468","ETV1","2115",2.589148,1.698488,0.896762,2.637348
"140","ENSG00000006534","ALDH3B1","221",0.486066,0.120088,1.158948,0.297581
"141","ENSG00000006555","TTC22","55001",10.843578,13.583005,9.456834,8.034346
"142","ENSG00000006576","PHTF2","57157",39.356879,53.538063,48.393478,46.442594
"144","ENSG00000006607","FARP2","9855",5.985576,8.168323,12.895435,6.841479
"146","ENSG00000006625","GGCT","79017",16.39358,20.853221,23.51827,20.125779
"147","ENSG00000006634","DBF4","10926",16.986486,18.653578,32.172803,16.921878
"148","ENSG00000006638","TBXA2R","6915",2.975668,1.91719,4.582247,3.421783
"149","ENSG00000006652","IFRD1","3475",39.140823,35.224594,73.198329,46.968987
"151","ENSG00000006695","COX10","1352",8.265295,11.280785,7.505726,6.713912
"152","ENSG00000006704","GTF2IRD1","9569",0.492408,0.536279,1.314394,1.829378
"153","ENSG00000006712","PAF1","54623",43.579755,49.378277,47.260393,55.373761
"154","ENSG00000006715","VPS41","27072",30.447891,45.304936,26.326473,39.321879
"155","ENSG00000006740","ARHGAP44","9912",0,0.018194,0.035513,1.790007
"156","ENSG00000006744","ELAC2","60528",38.9183,41.234881,33.514491,42.393622
"157","ENSG00000006747","SCIN","85477",0.173517,0.088239,0.242523,0.111627
"158","ENSG00000006756","ARSD","414",7.38846,10.181388,10.888058,17.248542
"159","ENSG00000006757","PNPLA4","8228",0.748139,2.950702,2.700997,1.730611
"161","ENSG00000006831","ADIPOR2","79602",37.811856,46.887013,43.753782,42.008257
"162","ENSG00000006837","CDKL3","51265",1.630987,1.607274,5.214229,4.916745
"164","ENSG00000007038","PRSS21","10942",1.27632,3.916108,6.672484,11.836808
"165","ENSG00000007047","MARK4","57787",23.551625,30.32123,26.43558,33.421946
"167","ENSG00000007080","CCDC124","115098",68.406753,58.76024,60.079042,80.611445
"168","ENSG00000007129","CEACAM21","90273",123.69016,85.117224,170.344138,101.120198
"169","ENSG00000007168","PAFAH1B1","5048",124.59549,111.272889,176.558473,100.158049
"170","ENSG00000007171","NOS2","4843",0.110137,0.073745,0.18171,0.198088
"171","ENSG00000007174","DNAH9","1770",0.156928,0.046075,0.183609,0.057692
"172","ENSG00000007202","BLTP2","9703",67.952996,54.519589,65.224413,73.00053
"174","ENSG00000007237","GAS7","8522",0.877825,2.586686,10.168876,4.879305
"175","ENSG00000007255","TRAPPC6A","79090",71.213912,84.141658,117.497163,105.047357
"176","ENSG00000007264","MATK","4145",114.612428,40.50685,101.020312,89.030535
"178","ENSG00000007312","CD79B","974",22.543796,28.050108,13.808761,22.474344
"180","ENSG00000007341","ST7L","54879",9.201461,11.380939,10.379049,20.909695
"181","ENSG00000007350","TKTL1","8277",0.261603,0.731999,0.128754,0.804321
"182","ENSG00000007372","PAX6","5080",0.065177,0.011441,2.027951,8.215555
"183","ENSG00000007376","RPUSD1","113000",20.22681,18.783297,11.590712,18.443389
"184","ENSG00000007384","RHBDF1","64285",0.031556,0.121775,2.081762,2.728188
"185","ENSG00000007392","LUC7L","55692",110.264664,79.625838,130.461923,88.949417
"186","ENSG00000007402","CACNA2D2","9254",6.31172,2.709545,2.389192,3.063736
"187","ENSG00000007516","BAIAP3","8938",11.317486,14.998341,29.359588,89.286593
"188","ENSG00000007520","TSR3","115939",36.87056,44.771612,42.36547,51.921837
"189","ENSG00000007541","PIGQ","9091",26.151523,23.309693,31.660762,34.926282
"190","ENSG00000007545","CRAMP1","57585",24.530757,22.87112,23.23702,19.344205
"191","ENSG00000007866","TEAD3","7005",1.108089,0.724094,2.995493,2.993733
"193","ENSG00000007923","DNAJC11","55735",21.345904,20.541094,15.913538,21.186235
"194","ENSG00000007933","FMO3","2328",0,0.400654,1.1458,1.669521
"195","ENSG00000007944","MYLIP","29116",40.482506,39.764472,80.477343,73.663406
"197","ENSG00000007968","E2F2","1870",5.406925,12.413812,3.930168,4.290326
"198","ENSG00000008018","PSMB1","5689",143.556872,170.791353,155.306878,135.918063
"199","ENSG00000008056","SYN1","6853",0.17024,0.078126,0.254551,0.966059
"200","ENSG00000008083","JARID2","3720",20.444312,20.361653,27.95387,24.158546
"201","ENSG00000008086","CDKL5","6792",3.485965,2.601047,2.339329,4.262059
"203","ENSG00000008128","CDK11A","728642",163.324146,175.983313,220.549097,185.100002
"204","ENSG00000008130","NADK","65220",94.703746,89.420286,102.934459,100.709355
"207","ENSG00000008226","DLEC1","9940",2.695956,2.841494,2.79649,2.742848
"208","ENSG00000008256","CYTH3","9265",8.345785,2.662581,11.042939,4.631715
"209","ENSG00000008277","ADAM22","53616",1.254151,0.992054,0.502012,1.327979
"210","ENSG00000008282","SYPL1","6856",13.801922,15.961712,17.01688,17.429226
"211","ENSG00000008283","CYB561","1534",82.650519,143.365078,75.606492,104.429508
"212","ENSG00000008294","SPAG9","9043",40.745765,34.846569,55.515967,42.533861
"213","ENSG00000008300","CELSR3","1951",1.712448,1.637793,2.933693,4.024073
"214","ENSG00000008311","AASS","10157",1.874175,1.369965,3.536881,3.058383
"215","ENSG00000008323","PLEKHG6","55200",0.131557,0.065159,1.804731,0.080241
"216","ENSG00000008324","SS18L2","51188",61.106327,69.734225,62.087129,64.941178
"217","ENSG00000008382","MPND","84954",11.710716,14.392951,10.261977,12.834008
"218","ENSG00000008394","MGST1","4257",8.848557,3.097063,21.039935,4.234063
"219","ENSG00000008405","CRY1","1407",19.650849,13.587071,35.618368,25.975476
"221","ENSG00000008441","NFIX","4784",2.266639,0.052608,0.918632,0.84065
"222","ENSG00000008513","ST3GAL1","6482",67.576729,68.361275,89.051585,116.136892
"223","ENSG00000008516","MMP25","64386",178.119975,239.385047,177.983347,325.497411
"224","ENSG00000008517","IL32","9235",2118.781789,2727.314322,1177.989546,2583.314303
"225","ENSG00000008710","PKD1","5310",100.130357,86.511142,122.650982,138.299187
"226","ENSG00000008735","MAPK8IP2","23542",0.331549,0.194384,0.742086,0.256894
"227","ENSG00000008838","MED24","9862",54.726551,70.447028,49.770317,58.345329
"228","ENSG00000008853","RHOBTB2","23221",1.543115,1.337601,3.47786,3.865803
"229","ENSG00000008869","HEATR5B","54497",19.500854,21.870712,28.169551,25.040244
"230","ENSG00000008952","SEC62","7095",62.317286,68.83492,71.78605,81.158733
"231","ENSG00000008988","RPS20","6224",2073.966595,1649.924387,1997.825507,1739.667862
"232","ENSG00000009307","CSDE1","7812",263.900635,248.796138,359.029117,318.620721
"233","ENSG00000009335","UBE3C","9690",33.478023,33.495686,31.377778,40.15554
"234","ENSG00000009413","REV3L","5980",27.445905,28.440769,26.136064,26.212031
"235","ENSG00000009694","TENM1","10178",0.047909,0.078143,0.117052,0.058466
"237","ENSG00000009724","MASP2","10747",0.316358,0.069607,0.034078,0.085156
"238","ENSG00000009765","IYD","389434",0.692342,0.759997,0.553797,0.754053
"239","ENSG00000009780","FAM76A","199870",13.156804,15.797708,15.144351,12.480924
"240","ENSG00000009790","TRAF3IP3","80342",488.857671,608.539905,392.75381,472.003762
"241","ENSG00000009830","POMT2","29954",8.247452,6.582902,7.939065,7.376282
"242","ENSG00000009844","VTA1","51534",24.176294,29.214844,31.252099,27.01072
"243","ENSG00000009950","MLXIPL","51085",1.395963,0.866733,1.061689,2.133008
"244","ENSG00000009954","BAZ1B","9031",54.572515,49.992941,54.80156,46.117466
"245","ENSG00000010017","RANBP9","10048",49.830272,54.5515,58.407004,40.822179
"246","ENSG00000010030","ETV7","51513",4.84205,4.893925,3.32903,3.60034
"247","ENSG00000010072","SPRTN","83932",7.291866,9.813492,9.347932,9.789474
"248","ENSG00000010165","METTL13","51603",30.629655,28.965167,46.486599,28.879828
"249","ENSG00000010219","DYRK4","8798",34.147583,38.598699,37.78267,32.841363
"250","ENSG00000010244","ZNF207","7756",207.075889,205.271564,199.233003,177.396383
"251","ENSG00000010256","UQCRC1","7384",90.030958,85.285787,67.875601,80.416538
"252","ENSG00000010270","STARD3NL","83930",20.505895,23.357105,34.4838,32.414807
"253","ENSG00000010278","CD9","928",10.789414,14.152363,30.430082,23.433393
"255","ENSG00000010292","NCAPD2","9918",52.163826,54.585163,50.252894,66.787885
"256","ENSG00000010295","IFFO1","25900",54.6376,51.955483,50.013713,52.850764
"257","ENSG00000010310","GIPR","2696",64.020596,21.299457,107.793128,83.052302
"258","ENSG00000010318","PHF7","51533",20.920484,14.509357,19.505281,18.618118
"260","ENSG00000010322","NISCH","11188",143.777649,111.144198,131.898021,149.064166
"261","ENSG00000010327","STAB1","23166",0.037518,0.039915,0,0.048133
"262","ENSG00000010361","FUZ","80199",16.050022,11.615496,13.037001,27.14186
"263","ENSG00000010379","SLC6A13","6540",0.468674,0.32914,0.088053,0.223357
"264","ENSG00000010404","IDS","3423",281.848218,237.935947,231.648016,181.257397
"266","ENSG00000010539","ZNF200","7752",8.789474,11.179765,13.433,16.641285
"267","ENSG00000010610","CD4","920",170.513657,298.139461,145.560516,163.413868
"268","ENSG00000010626","LRRC23","10233",7.778012,3.814579,6.582686,5.676232
"270","ENSG00000010704","HFE","3077",1.720094,1.295001,0.8823,3.618689
"271","ENSG00000010803","SCMH1","22955",22.895754,12.938747,28.290803,22.282269
"272","ENSG00000010810","FYN","2534",912.435334,705.397497,533.379094,721.970955
"273","ENSG00000010818","HIVEP2","3097",18.623075,13.795947,19.962793,27.271769
"275","ENSG00000011007","ELOA","6924",20.2121,25.476243,22.228687,20.317403
"276","ENSG00000011009","LYPLA2","11313",55.825129,59.480311,52.783258,43.223236
"277","ENSG00000011021","CLCN6","1185",8.274443,9.53125,8.107952,11.59072
"278","ENSG00000011028","MRC2","9902",21.964095,9.172772,29.411044,14.997155
"279","ENSG00000011052","NME1-NME2","654364",0.406252,1.655112,0.310603,1.012051
"281","ENSG00000011105","TSPAN9","10867",0.630605,0.07538,2.58402,5.846758
"282","ENSG00000011114","BTBD7","55727",9.409711,10.15977,11.447766,9.034862
"283","ENSG00000011132","APBA3","9546",102.623328,101.239184,120.264792,130.799083
"284","ENSG00000011143","MKS1","54903",9.634954,10.519696,6.736513,8.85163
"285","ENSG00000011198","ABHD5","51099",3.908733,9.385713,5.156673,5.176829
"287","ENSG00000011243","AKAP8L","26993",170.131029,152.733192,227.802984,184.232428
"288","ENSG00000011258","MBTD1","54799",19.687997,15.738715,16.908736,18.414027
"289","ENSG00000011260","UTP18","51096",30.151092,25.856973,33.354332,31.010965
"290","ENSG00000011275","RNF216","54476",33.317494,28.961179,35.718117,36.816767
"291","ENSG00000011295","TTC19","54902",21.330344,21.146961,29.960402,25.365171
"292","ENSG00000011304","PTBP1","5725",152.938002,171.812726,144.907399,144.000899
"294","ENSG00000011347","SYT7","9066",0.147378,0,0.103102,0.080457
"295","ENSG00000011376","LARS2","23395",4.210588,4.243052,3.940715,3.791392
"296","ENSG00000011405","PIK3C2A","5286",12.08391,17.255945,14.669304,14.428302
"297","ENSG00000011422","PLAUR","5329",7.497317,6.42896,13.671906,27.960841
"298","ENSG00000011426","ANLN","54443",6.380968,7.366011,11.044032,6.559676
"299","ENSG00000011451","WIZ","58525",22.36144,24.185961,23.410572,20.999288
"300","ENSG00000011454","RABGAP1","23637",20.145517,19.360743,21.618722,24.753285
"302","ENSG00000011478","QPCTL","54814",18.60359,17.070325,11.272863,14.970864
"303","ENSG00000011485","PPP5C","5536",92.032427,89.161798,89.026408,92.340077
"304","ENSG00000011523","CEP68","23177",15.257324,11.402862,23.407744,25.391963
"305","ENSG00000011566","MAP4K3","8491",9.391363,7.77787,15.258134,11.072737
"306","ENSG00000011590","ZBTB32","27033",3.338537,1.999578,1.416216,6.035154
"307","ENSG00000011600","TYROBP","7305",194.130715,185.886876,161.043499,126.492766
"308","ENSG00000011638","LDAF1","57146",19.55238,13.336326,29.709981,24.550646
"310","ENSG00000012048","BRCA1","672",5.648735,6.407922,6.336093,6.952729
"311","ENSG00000012061","ERCC1","2067",45.868966,51.760475,46.622312,53.370804
"313","ENSG00000012171","SEMA3B","7869",1.372095,0.588002,2.397377,1.372962
"314","ENSG00000012174","MBTPS2","51360",5.113255,5.129853,5.15836,5.100264
"315","ENSG00000012211","PRICKLE3","4007",14.669657,13.487886,14.983143,14.068163
"316","ENSG00000012223","LTF","4057",2.428641,1.863283,6.08681,3.739872
"317","ENSG00000012232","EXTL3","2137",14.576684,17.853198,16.90076,18.969825
"319","ENSG00000012660","ELOVL5","60481",161.418103,154.800956,158.225016,143.234334
"322","ENSG00000012822","CALCOCO1","57658",245.106086,241.125145,264.856145,310.161695
"324","ENSG00000012983","MAP4K5","11183",40.65948,26.507835,34.888463,43.740915
"325","ENSG00000013016","EHD3","30845",1.4001,1.438314,1.014582,1.858578
"326","ENSG00000013275","PSMC4","5704",50.993751,59.574813,47.243324,64.543211
"327","ENSG00000013288","MAN2B2","23324",38.158141,37.11591,27.206258,32.493202
"328","ENSG00000013293","SLC7A14","57709",0.131671,0.023444,0.143642,0.163936
"329","ENSG00000013297","CLDN11","5010",1.053676,0.428207,0.599354,6.764209
"330","ENSG00000013306","SLC25A39","51629",57.796474,59.420135,72.96317,85.418392
"331","ENSG00000013364","MVP","9961",183.933668,148.153772,202.117611,171.530934
"332","ENSG00000013374","NUB1","51667",122.600782,125.487489,131.842721,104.423522
"333","ENSG00000013375","PGM3","5238",19.352983,28.495322,21.754551,37.215149
"334","ENSG00000013392","RWDD2A","112611",4.431093,3.156312,5.335713,6.611792
"335","ENSG00000013441","CLK1","1195",283.208093,275.135589,425.129016,358.882472
"336","ENSG00000013503","POLR3B","55703",5.26135,2.012465,2.187545,3.294515
"337","ENSG00000013523","ANGEL1","23357",15.814654,12.33343,15.739451,15.499655
"338","ENSG00000013561","RNF14","9604",26.374216,34.922951,42.626408,33.462604
"339","ENSG00000013563","DNASE1L1","1774",27.878721,31.193247,23.371174,28.554511
"340","ENSG00000013573","DDX11","1663",98.711382,56.446282,82.579555,100.881096
"341","ENSG00000013583","HEBP1","50865",8.466037,7.34127,18.349993,16.603865
"342","ENSG00000013588","GPRC5A","9052",2.095954,1.611476,6.009087,0.45481
"343","ENSG00000013619","MAMLD1","10046",8.128383,4.1056,7.859265,8.068953
"344","ENSG00000013725","CD6","923",721.067759,726.98128,663.073972,501.061558
"345","ENSG00000013810","TACC3","10460",98.451916,118.784647,113.681881,97.093932
"346","ENSG00000014123","UFL1","23376",22.870929,29.266687,37.721306,25.468045
"347","ENSG00000014138","POLA2","23649",9.015895,9.12993,11.050196,12.086047
"349","ENSG00000014216","CAPN1","823",106.268897,120.127573,77.196912,73.202477
"351","ENSG00000014641","MDH1","4190",79.134908,94.318365,90.961239,93.409437
"352","ENSG00000014824","SLC30A9","10463",17.097236,21.627716,18.0159,23.242181
"353","ENSG00000014914","MTMR11","10903",3.552152,5.624847,6.982739,6.587329
"354","ENSG00000014919","COX15","1355",23.037379,22.783975,30.666094,25.661957
"355","ENSG00000015133","CCDC88C","440193",152.812618,145.228463,123.907918,128.589912
"356","ENSG00000015153","YAF2","10138",24.431123,24.86984,38.127883,21.870408
"357","ENSG00000015171","ZMYND11","10771",43.062194,49.880745,35.320573,37.943687
"358","ENSG00000015285","WAS","7454",151.511621,248.678461,122.585586,134.584764
"360","ENSG00000015475","BID","637",14.348896,14.738725,39.717158,27.643063
"362","ENSG00000015520","NPC1L1","29881",0.090101,0,0.194445,0.060714
"363","ENSG00000015532","XYLT2","64132",22.221906,18.290955,22.2868,24.036591
"364","ENSG00000015568","RGPD5","84220",7.50687,1.763536,26.984562,22.022097
"366","ENSG00000015676","NUDCD3","23386",34.506593,35.019713,47.156624,42.737779
"368","ENSG00000016391","CHDH","55349",15.160106,25.623166,10.796824,9.10042
"372","ENSG00000016864","GLT8D1","55830",67.088714,71.239429,73.416081,68.446501
"373","ENSG00000017260","ATP2C1","27032",50.449556,50.18722,55.971078,47.95004
"374","ENSG00000017427","IGF1","3479",3.902853,2.300904,1.522579,13.507872
"375","ENSG00000017483","SLC38A5","92745",52.855037,41.506091,44.777831,23.195759
"376","ENSG00000017797","RALBP1","10928",46.017737,41.749221,65.578949,53.98459
"377","ENSG00000018189","RUFY3","22902",14.595297,9.17934,19.928627,16.965124
"379","ENSG00000018280","SLC11A1","6556",0.353506,0.417557,0.495079,0.470189
"380","ENSG00000018408","WWTR1","25937",1.717213,1.133498,2.860932,18.669828
"381","ENSG00000018510","AGPS","8540",14.534395,17.16461,17.432565,20.906804
"383","ENSG00000018610","STEEP1","63932",24.312917,23.799511,19.910789,24.966431
"385","ENSG00000018699","TTC27","55622",3.262253,6.168018,5.364676,5.347407
"386","ENSG00000018869","ZNF582","147948",1.909158,3.445377,2.377898,1.980587
"388","ENSG00000019144","PHLDB1","23187",1.518267,0.868752,5.609684,5.741441
"391","ENSG00000019485","PRDM11","56981",1.411045,2.510174,0.60343,2.131154
"393","ENSG00000019549","SNAI2","6591",0.14763,0.207213,0.212519,3.080689
"394","ENSG00000019582","CD74","972",1204.951195,1595.154625,853.070226,626.021117
"396","ENSG00000019995","ZRANB1","54764",13.510194,15.388789,19.388179,17.925487
"397","ENSG00000020129","NCDN","23154",100.627082,139.531159,55.556798,213.319469
"398","ENSG00000020181","ADGRA2","25960",0.192078,0.039301,0.186395,0.102789
"400","ENSG00000020256","ZFP64","55734",2.62028,6.766356,4.137236,5.799547
"401","ENSG00000020426","MNAT1","4331",39.374048,44.432389,50.790922,41.02918
"402","ENSG00000020577","SAMD4A","23034",0.24978,0.256618,2.528589,2.316201
"403","ENSG00000020633","RUNX3","864",309.12603,227.972564,145.6295,172.907796
"404","ENSG00000020922","MRE11","4361",20.424495,16.259246,16.824348,18.965379
"405","ENSG00000021300","PLEKHB1","58473",5.63303,2.850441,2.771816,4.220206
"406","ENSG00000021355","SERPINB1","1992",63.748273,63.565221,51.334706,43.25405
"409","ENSG00000021574","SPAST","6683",11.988394,13.406313,12.645006,11.911692
"410","ENSG00000021645","NRXN3","9369",0.083772,0.055189,0.008961,0.1231
"411","ENSG00000021762","OSBPL5","114879",6.161237,2.850883,8.560254,13.066407
"412","ENSG00000021776","AQR","9716",13.119996,17.32666,13.250016,12.997231
"413","ENSG00000021826","CPS1","1373",1.076645,0.872399,1.279214,1.225082
"415","ENSG00000022267","FHL1","2273",5.915182,3.687401,11.707334,16.173008
"416","ENSG00000022277","RTF2","51507",75.244516,96.637001,79.960902,86.663574
"419","ENSG00000022567","SLC45A4","57210",19.394489,17.471457,22.678971,24.541111
"420","ENSG00000022840","RNF10","9921",161.343884,232.866973,174.340172,147.497185
"421","ENSG00000022976","ZNF839","55778",18.239031,19.411711,22.019874,25.484686
