"","Gene","SYMBOL","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD1","iNKTD2"
"57","ENSG00000004766","VPS50","55610",16.419359,18.775975,18.840928,13.349315,15.997924
"58","ENSG00000004776","HSPB6","126393",0,0,0.12478,0.084532,0.056618
"59","ENSG00000004777","ARHGAP33","115703",57.636535,61.05375,51.213617,23.080088,49.487388
"60","ENSG00000004779","NDUFAB1","4706",47.041436,51.626575,46.489715,147.90195,90.955848
"63","ENSG00000004838","ZMYND10","51364",2.928093,1.258608,4.932858,0.794824,2.126193
"64","ENSG00000004846","ABCB5","340273",0.173424,0.128257,0,0.076443,0.034123
"66","ENSG00000004864","SLC25A13","10165",9.247688,5.155738,6.41835,6.918712,5.982825
"68","ENSG00000004897","CDC27","996",42.372651,42.284476,50.437437,75.355779,50.025355
"71","ENSG00000004961","HCCS","3052",18.051512,17.581767,22.640614,29.20123,27.161048
"72","ENSG00000004975","DVL2","1856",43.021197,29.033572,37.183684,33.295128,29.716304
"74","ENSG00000005007","UPF1","5976",41.554944,39.527017,53.62132,39.685897,52.900438
"75","ENSG00000005020","SKAP2","8935",20.398803,15.812014,14.616545,13.159248,10.269647
"76","ENSG00000005022","SLC25A5","292",134.508803,156.060811,150.52949,447.753808,221.926893
"77","ENSG00000005059","MCUB","55013",102.991916,101.220402,139.997321,62.879886,73.610478
"79","ENSG00000005075","POLR2J","5439",62.876107,61.063511,54.716234,101.748527,80.146711
"80","ENSG00000005100","DHX33","56919",11.03883,9.261127,9.542099,12.655852,10.306238
"81","ENSG00000005102","MEOX1","4222",0,0.243462,1.035869,0.267265,0.249405
"83","ENSG00000005156","LIG3","3980",14.555589,21.434414,28.500743,16.424417,11.98741
"84","ENSG00000005175","RPAP3","79657",23.795668,27.551712,26.999248,32.782437,39.69163
"85","ENSG00000005187","ACSM3","6296",0.827607,0.550884,3.414827,0.839067,0.766718
"86","ENSG00000005189","REXO5","81691",3.14046,4.486205,5.996156,5.67243,2.682651
"87","ENSG00000005194","CIAPIN1","57019",29.062295,22.030165,26.226039,39.33637,33.248189
"88","ENSG00000005206","SPPL2B","56928",115.153821,90.715681,129.940477,24.205026,55.132194
"89","ENSG00000005238","ATOSB","80256",32.644329,28.069841,30.778754,17.164922,22.95675
"90","ENSG00000005243","COPZ2","51226",8.906217,6.801367,1.533819,9.478678,8.932745
"91","ENSG00000005249","PRKAR2B","5577",0.544448,0.304639,0.807564,0.654096,0.350297
"92","ENSG00000005302","MSL3","10943",79.293022,92.888027,69.634522,40.710467,56.635843
"93","ENSG00000005339","CREBBP","1387",63.387088,71.754864,39.362535,31.155716,53.251313
"94","ENSG00000005379","TSPOAP1","9256",62.706282,64.530129,83.580302,19.783341,56.518749
"97","ENSG00000005436","GCFC2","6936",13.407222,16.583309,15.114587,12.2812,16.266767
"98","ENSG00000005448","WDR54","84058",65.318174,58.094531,49.347482,54.624628,47.084326
"99","ENSG00000005469","CROT","54677",13.081334,16.404049,11.729737,5.603336,11.042087
"100","ENSG00000005471","ABCB4","5244",0.100313,0.022051,0,0.088379,0.066999
"101","ENSG00000005483","KMT2E","55904",123.49635,107.465994,111.929113,55.82656,84.705262
"102","ENSG00000005486","RHBDD2","57414",84.291989,94.247851,74.116042,34.919137,55.673925
"103","ENSG00000005513","SOX8","30812",0.53087,0.244716,1.812237,0.03632,0.072945
"104","ENSG00000005700","IBTK","25998",19.187541,27.961057,21.045936,25.997045,27.404277
"105","ENSG00000005801","ZNF195","7748",13.203951,16.144954,21.336045,15.04762,19.343723
"106","ENSG00000005810","MYCBP2","23077",99.441946,70.12393,106.595124,40.428668,83.820036
"107","ENSG00000005812","FBXL3","26224",26.396393,34.100127,33.479506,26.820355,36.896151
"108","ENSG00000005844","ITGAL","3683",740.688647,652.404627,476.826449,538.89243,781.475876
"109","ENSG00000005882","PDK2","5164",21.112476,30.473266,16.605356,21.01129,38.836313
"110","ENSG00000005884","ITGA3","3675",21.122698,16.361578,24.173552,4.836572,10.861738
"111","ENSG00000005889","ZFX","7543",20.189601,29.272935,25.303295,16.662131,29.099733
"112","ENSG00000005893","LAMP2","3920",55.115389,56.375895,61.058024,75.128219,77.502875
"113","ENSG00000005961","ITGA2B","3674",0.424247,0.064322,1.74402,0.248743,0.028757
"115","ENSG00000006007","GDE1","51573",62.026192,82.598273,58.998235,51.791994,57.931485
"116","ENSG00000006015","REX1BD","55049",97.976968,83.10823,108.786526,93.483309,95.727245
"118","ENSG00000006025","OSBPL7","114881",159.659005,88.714913,93.440773,17.303208,27.465528
"119","ENSG00000006042","TMEM98","26022",4.160399,7.992057,11.817264,15.030304,16.254722
"120","ENSG00000006047","YBX2","51087",0.991852,0.235156,1.547783,0.29097,0.031599
"122","ENSG00000006062","MAP3K14","9020",33.313315,30.342506,26.831411,12.383516,20.60888
"125","ENSG00000006118","TMEM132A","54972",1.314137,1.291679,3.656509,0.028878,0
"126","ENSG00000006125","AP2B1","163",116.552841,126.633292,107.482043,145.103001,130.82082
"128","ENSG00000006194","ZNF263","10127",33.718333,27.994668,32.975161,20.875673,30.68833
"129","ENSG00000006210","CX3CL1","6376",0,0.013698,0.145642,0.009153,0
"130","ENSG00000006282","SPATA20","64847",21.448891,30.122152,41.925828,11.316369,21.632144
"131","ENSG00000006283","CACNA1G","8913",0.075489,0,0.15633,0,0.068097
"132","ENSG00000006327","TNFRSF12A","51330",8.416394,5.455745,22.800522,4.48277,9.853822
"134","ENSG00000006432","MAP3K9","4293",4.531009,2.46707,7.044796,3.209142,3.087585
"135","ENSG00000006451","RALA","5898",51.503948,53.748504,52.227974,26.942624,28.555445
"136","ENSG00000006453","BAIAP2L1","55971",0.625566,0.270673,3.898774,0.075334,0.040345
"137","ENSG00000006459","KDM7A","80853",54.391738,53.536033,47.662425,13.16185,14.836581
"138","ENSG00000006468","ETV1","2115",2.589148,1.698488,0.896762,1.884206,3.08167
"140","ENSG00000006534","ALDH3B1","221",0.486066,0.120088,1.158948,0.054152,0.130308
"141","ENSG00000006555","TTC22","55001",10.843578,13.583005,9.456834,5.513809,8.502789
"142","ENSG00000006576","PHTF2","57157",39.356879,53.538063,48.393478,65.524002,95.466136
"144","ENSG00000006607","FARP2","9855",5.985576,8.168323,12.895435,8.191161,9.104521
"146","ENSG00000006625","GGCT","79017",16.39358,20.853221,23.51827,67.075427,34.963161
"147","ENSG00000006634","DBF4","10926",16.986486,18.653578,32.172803,73.307412,33.925399
"148","ENSG00000006638","TBXA2R","6915",2.975668,1.91719,4.582247,1.085889,1.865397
"149","ENSG00000006652","IFRD1","3475",39.140823,35.224594,73.198329,16.459646,25.694486
"151","ENSG00000006695","COX10","1352",8.265295,11.280785,7.505726,16.864117,15.791361
"152","ENSG00000006704","GTF2IRD1","9569",0.492408,0.536279,1.314394,0.090351,0.569835
"153","ENSG00000006712","PAF1","54623",43.579755,49.378277,47.260393,53.800029,53.370192
"154","ENSG00000006715","VPS41","27072",30.447891,45.304936,26.326473,35.003285,47.31652
"155","ENSG00000006740","ARHGAP44","9912",0,0.018194,0.035513,0,0.016273
"156","ENSG00000006744","ELAC2","60528",38.9183,41.234881,33.514491,44.078371,40.133962
"157","ENSG00000006747","SCIN","85477",0.173517,0.088239,0.242523,0.016083,0.230179
"158","ENSG00000006756","ARSD","414",7.38846,10.181388,10.888058,5.046728,11.580868
"159","ENSG00000006757","PNPLA4","8228",0.748139,2.950702,2.700997,2.822386,2.929667
"161","ENSG00000006831","ADIPOR2","79602",37.811856,46.887013,43.753782,62.595817,47.862822
"162","ENSG00000006837","CDKL3","51265",1.630987,1.607274,5.214229,0.70609,1.227453
"164","ENSG00000007038","PRSS21","10942",1.27632,3.916108,6.672484,4.185091,5.30087
"165","ENSG00000007047","MARK4","57787",23.551625,30.32123,26.43558,12.623377,21.898466
"167","ENSG00000007080","CCDC124","115098",68.406753,58.76024,60.079042,100.914454,90.550762
"168","ENSG00000007129","CEACAM21","90273",123.69016,85.117224,170.344138,37.704686,64.433936
"169","ENSG00000007168","PAFAH1B1","5048",124.59549,111.272889,176.558473,117.113389,111.685063
"170","ENSG00000007171","NOS2","4843",0.110137,0.073745,0.18171,0,0
"171","ENSG00000007174","DNAH9","1770",0.156928,0.046075,0.183609,0,0
"172","ENSG00000007202","BLTP2","9703",67.952996,54.519589,65.224413,60.266693,61.731017
"174","ENSG00000007237","GAS7","8522",0.877825,2.586686,10.168876,0.742743,1.652152
"175","ENSG00000007255","TRAPPC6A","79090",71.213912,84.141658,117.497163,54.212108,110.541319
"176","ENSG00000007264","MATK","4145",114.612428,40.50685,101.020312,49.738979,51.612732
"178","ENSG00000007312","CD79B","974",22.543796,28.050108,13.808761,35.441363,39.808324
"180","ENSG00000007341","ST7L","54879",9.201461,11.380939,10.379049,9.42877,8.735969
"181","ENSG00000007350","TKTL1","8277",0.261603,0.731999,0.128754,2.273661,1.148355
"182","ENSG00000007372","PAX6","5080",0.065177,0.011441,2.027951,0,0
"183","ENSG00000007376","RPUSD1","113000",20.22681,18.783297,11.590712,29.82734,21.674877
"184","ENSG00000007384","RHBDF1","64285",0.031556,0.121775,2.081762,0,0.10889
"185","ENSG00000007392","LUC7L","55692",110.264664,79.625838,130.461923,29.786186,47.493924
"186","ENSG00000007402","CACNA2D2","9254",6.31172,2.709545,2.389192,0.112682,0.380022
"187","ENSG00000007516","BAIAP3","8938",11.317486,14.998341,29.359588,0.31135,2.792503
"188","ENSG00000007520","TSR3","115939",36.87056,44.771612,42.36547,46.236921,55.416504
"189","ENSG00000007541","PIGQ","9091",26.151523,23.309693,31.660762,18.063996,22.151628
"190","ENSG00000007545","CRAMP1","57585",24.530757,22.87112,23.23702,11.270261,18.283945
"191","ENSG00000007866","TEAD3","7005",1.108089,0.724094,2.995493,0.316193,1.021072
"193","ENSG00000007923","DNAJC11","55735",21.345904,20.541094,15.913538,22.361739,20.785364
"194","ENSG00000007933","FMO3","2328",0,0.400654,1.1458,0.266636,0
"195","ENSG00000007944","MYLIP","29116",40.482506,39.764472,80.477343,24.693626,29.391597
"197","ENSG00000007968","E2F2","1870",5.406925,12.413812,3.930168,46.781084,27.238257
"198","ENSG00000008018","PSMB1","5689",143.556872,170.791353,155.306878,250.939213,190.480427
"199","ENSG00000008056","SYN1","6853",0.17024,0.078126,0.254551,0,0.437644
"200","ENSG00000008083","JARID2","3720",20.444312,20.361653,27.95387,19.64023,24.401848
"201","ENSG00000008086","CDKL5","6792",3.485965,2.601047,2.339329,1.565884,1.655472
"203","ENSG00000008128","CDK11A","728642",163.324146,175.983313,220.549097,61.108838,152.236555
"204","ENSG00000008130","NADK","65220",94.703746,89.420286,102.934459,68.243617,68.129161
"207","ENSG00000008226","DLEC1","9940",2.695956,2.841494,2.79649,0.291141,1.987061
"208","ENSG00000008256","CYTH3","9265",8.345785,2.662581,11.042939,0.656399,1.263036
"209","ENSG00000008277","ADAM22","53616",1.254151,0.992054,0.502012,0.480301,0.553226
"210","ENSG00000008282","SYPL1","6856",13.801922,15.961712,17.01688,13.822709,24.711171
"211","ENSG00000008283","CYB561","1534",82.650519,143.365078,75.606492,14.33396,86.997736
"212","ENSG00000008294","SPAG9","9043",40.745765,34.846569,55.515967,29.032709,30.000141
"213","ENSG00000008300","CELSR3","1951",1.712448,1.637793,2.933693,2.224712,2.485228
"214","ENSG00000008311","AASS","10157",1.874175,1.369965,3.536881,0.771207,0.994149
"215","ENSG00000008323","PLEKHG6","55200",0.131557,0.065159,1.804731,0,0
"216","ENSG00000008324","SS18L2","51188",61.106327,69.734225,62.087129,87.733331,77.562303
"217","ENSG00000008382","MPND","84954",11.710716,14.392951,10.261977,16.219856,15.819883
"218","ENSG00000008394","MGST1","4257",8.848557,3.097063,21.039935,0.953567,0.884583
"219","ENSG00000008405","CRY1","1407",19.650849,13.587071,35.618368,17.879479,18.776297
"221","ENSG00000008441","NFIX","4784",2.266639,0.052608,0.918632,0.061419,0.013047
"222","ENSG00000008513","ST3GAL1","6482",67.576729,68.361275,89.051585,80.751365,83.747333
"223","ENSG00000008516","MMP25","64386",178.119975,239.385047,177.983347,161.829206,427.605588
"224","ENSG00000008517","IL32","9235",2118.781789,2727.314322,1177.989546,5554.275056,7930.317335
"225","ENSG00000008710","PKD1","5310",100.130357,86.511142,122.650982,35.666864,81.492971
"226","ENSG00000008735","MAPK8IP2","23542",0.331549,0.194384,0.742086,0.094954,0.239027
"227","ENSG00000008838","MED24","9862",54.726551,70.447028,49.770317,48.132228,71.301666
"228","ENSG00000008853","RHOBTB2","23221",1.543115,1.337601,3.47786,3.016266,3.479067
"229","ENSG00000008869","HEATR5B","54497",19.500854,21.870712,28.169551,11.609195,18.834122
"230","ENSG00000008952","SEC62","7095",62.317286,68.83492,71.78605,54.699301,65.727582
"231","ENSG00000008988","RPS20","6224",2073.966595,1649.924387,1997.825507,1681.363519,1715.545337
"232","ENSG00000009307","CSDE1","7812",263.900635,248.796138,359.029117,206.520527,210.561775
"233","ENSG00000009335","UBE3C","9690",33.478023,33.495686,31.377778,38.301297,42.430637
"234","ENSG00000009413","REV3L","5980",27.445905,28.440769,26.136064,20.707035,24.720792
"235","ENSG00000009694","TENM1","10178",0.047909,0.078143,0.117052,0.008035,0.021511
"237","ENSG00000009724","MASP2","10747",0.316358,0.069607,0.034078,0,0
"238","ENSG00000009765","IYD","389434",0.692342,0.759997,0.553797,0.080792,0.624033
"239","ENSG00000009780","FAM76A","199870",13.156804,15.797708,15.144351,8.029356,10.863485
"240","ENSG00000009790","TRAF3IP3","80342",488.857671,608.539905,392.75381,369.467925,449.894811
"241","ENSG00000009830","POMT2","29954",8.247452,6.582902,7.939065,2.860805,4.455045
"242","ENSG00000009844","VTA1","51534",24.176294,29.214844,31.252099,42.485332,37.078404
"243","ENSG00000009950","MLXIPL","51085",1.395963,0.866733,1.061689,0.304753,0.572532
"244","ENSG00000009954","BAZ1B","9031",54.572515,49.992941,54.80156,73.278636,58.281709
"245","ENSG00000010017","RANBP9","10048",49.830272,54.5515,58.407004,53.218085,48.260958
"246","ENSG00000010030","ETV7","51513",4.84205,4.893925,3.32903,17.445375,4.069229
"247","ENSG00000010072","SPRTN","83932",7.291866,9.813492,9.347932,12.035868,9.636197
"248","ENSG00000010165","METTL13","51603",30.629655,28.965167,46.486599,36.206822,27.891624
"249","ENSG00000010219","DYRK4","8798",34.147583,38.598699,37.78267,30.252928,36.265704
"250","ENSG00000010244","ZNF207","7756",207.075889,205.271564,199.233003,219.565534,193.616389
"251","ENSG00000010256","UQCRC1","7384",90.030958,85.285787,67.875601,129.412996,82.492388
"252","ENSG00000010270","STARD3NL","83930",20.505895,23.357105,34.4838,60.109581,36.695103
"253","ENSG00000010278","CD9","928",10.789414,14.152363,30.430082,4.102667,18.18842
"255","ENSG00000010292","NCAPD2","9918",52.163826,54.585163,50.252894,106.063937,81.021816
"256","ENSG00000010295","IFFO1","25900",54.6376,51.955483,50.013713,19.430984,36.042205
"257","ENSG00000010310","GIPR","2696",64.020596,21.299457,107.793128,4.375576,9.949412
"258","ENSG00000010318","PHF7","51533",20.920484,14.509357,19.505281,12.310737,8.925294
"260","ENSG00000010322","NISCH","11188",143.777649,111.144198,131.898021,37.046896,64.432775
"262","ENSG00000010361","FUZ","80199",16.050022,11.615496,13.037001,8.229242,7.550566
"263","ENSG00000010379","SLC6A13","6540",0.468674,0.32914,0.088053,0.059906,0
"264","ENSG00000010404","IDS","3423",281.848218,237.935947,231.648016,113.347394,136.988121
"266","ENSG00000010539","ZNF200","7752",8.789474,11.179765,13.433,8.571885,11.922489
"267","ENSG00000010610","CD4","920",170.513657,298.139461,145.560516,72.295111,231.097145
"268","ENSG00000010626","LRRC23","10233",7.778012,3.814579,6.582686,2.410214,5.157737
"269","ENSG00000010671","BTK","695",0.086668,0.105475,0,0.141405,0
"270","ENSG00000010704","HFE","3077",1.720094,1.295001,0.8823,2.6587,0.974473
"271","ENSG00000010803","SCMH1","22955",22.895754,12.938747,28.290803,17.374187,21.140326
"272","ENSG00000010810","FYN","2534",912.435334,705.397497,533.379094,221.778289,261.487487
"273","ENSG00000010818","HIVEP2","3097",18.623075,13.795947,19.962793,9.624237,10.539082
"275","ENSG00000011007","ELOA","6924",20.2121,25.476243,22.228687,32.387409,29.759945
"276","ENSG00000011009","LYPLA2","11313",55.825129,59.480311,52.783258,79.671101,75.549212
"277","ENSG00000011021","CLCN6","1185",8.274443,9.53125,8.107952,9.378346,10.404378
"278","ENSG00000011028","MRC2","9902",21.964095,9.172772,29.411044,5.734412,10.485982
"279","ENSG00000011052","NME1-NME2","654364",0.406252,1.655112,0.310603,11.079348,4.484415
"281","ENSG00000011105","TSPAN9","10867",0.630605,0.07538,2.58402,0.025179,0.050565
"282","ENSG00000011114","BTBD7","55727",9.409711,10.15977,11.447766,9.257826,9.667036
"283","ENSG00000011132","APBA3","9546",102.623328,101.239184,120.264792,44.019136,88.420739
"284","ENSG00000011143","MKS1","54903",9.634954,10.519696,6.736513,9.24456,5.96257
"285","ENSG00000011198","ABHD5","51099",3.908733,9.385713,5.156673,18.146098,10.712238
"287","ENSG00000011243","AKAP8L","26993",170.131029,152.733192,227.802984,43.275214,83.858395
"288","ENSG00000011258","MBTD1","54799",19.687997,15.738715,16.908736,5.914391,9.441323
"289","ENSG00000011260","UTP18","51096",30.151092,25.856973,33.354332,45.039195,43.85987
"290","ENSG00000011275","RNF216","54476",33.317494,28.961179,35.718117,14.638806,26.183739
"291","ENSG00000011295","TTC19","54902",21.330344,21.146961,29.960402,16.925438,24.079449
"292","ENSG00000011304","PTBP1","5725",152.938002,171.812726,144.907399,232.332415,207.523263
"294","ENSG00000011347","SYT7","9066",0.147378,0,0.103102,0,0.014764
"295","ENSG00000011376","LARS2","23395",4.210588,4.243052,3.940715,12.848135,6.803823
"296","ENSG00000011405","PIK3C2A","5286",12.08391,17.255945,14.669304,7.757595,12.361154
"297","ENSG00000011422","PLAUR","5329",7.497317,6.42896,13.671906,6.989635,8.786598
"298","ENSG00000011426","ANLN","54443",6.380968,7.366011,11.044032,31.184947,17.746321
"299","ENSG00000011451","WIZ","58525",22.36144,24.185961,23.410572,17.504722,26.399761
"300","ENSG00000011454","RABGAP1","23637",20.145517,19.360743,21.618722,15.596496,20.463134
"302","ENSG00000011478","QPCTL","54814",18.60359,17.070325,11.272863,6.849888,7.462668
"303","ENSG00000011485","PPP5C","5536",92.032427,89.161798,89.026408,93.618421,114.077319
"304","ENSG00000011523","CEP68","23177",15.257324,11.402862,23.407744,2.318631,7.769092
"305","ENSG00000011566","MAP4K3","8491",9.391363,7.77787,15.258134,2.883992,4.935646
"306","ENSG00000011590","ZBTB32","27033",3.338537,1.999578,1.416216,22.662334,4.931762
"307","ENSG00000011600","TYROBP","7305",194.130715,185.886876,161.043499,73.950979,205.010341
"308","ENSG00000011638","LDAF1","57146",19.55238,13.336326,29.709981,9.226164,13.055817
"310","ENSG00000012048","BRCA1","672",5.648735,6.407922,6.336093,39.873114,14.681676
"311","ENSG00000012061","ERCC1","2067",45.868966,51.760475,46.622312,50.243006,51.487639
"312","ENSG00000012124","CD22","933",0,0,1.002531,0.02126,0.246935
"313","ENSG00000012171","SEMA3B","7869",1.372095,0.588002,2.397377,0.050266,0.032277
"314","ENSG00000012174","MBTPS2","51360",5.113255,5.129853,5.15836,4.568294,6.491632
"315","ENSG00000012211","PRICKLE3","4007",14.669657,13.487886,14.983143,11.032615,9.170488
"316","ENSG00000012223","LTF","4057",2.428641,1.863283,6.08681,0.419138,0.036256
"317","ENSG00000012232","EXTL3","2137",14.576684,17.853198,16.90076,12.603429,12.968713
"319","ENSG00000012660","ELOVL5","60481",161.418103,154.800956,158.225016,146.727658,142.328666
"322","ENSG00000012822","CALCOCO1","57658",245.106086,241.125145,264.856145,49.758583,117.10635
"324","ENSG00000012983","MAP4K5","11183",40.65948,26.507835,34.888463,23.88402,18.514011
"325","ENSG00000013016","EHD3","30845",1.4001,1.438314,1.014582,2.049208,1.829328
"326","ENSG00000013275","PSMC4","5704",50.993751,59.574813,47.243324,104.881154,111.670579
"327","ENSG00000013288","MAN2B2","23324",38.158141,37.11591,27.206258,25.711775,32.258689
"328","ENSG00000013293","SLC7A14","57709",0.131671,0.023444,0.143642,0.05213,0.062028
"329","ENSG00000013297","CLDN11","5010",1.053676,0.428207,0.599354,0.090943,0
"330","ENSG00000013306","SLC25A39","51629",57.796474,59.420135,72.96317,71.439453,73.47852
"331","ENSG00000013364","MVP","9961",183.933668,148.153772,202.117611,112.78018,170.784028
"332","ENSG00000013374","NUB1","51667",122.600782,125.487489,131.842721,67.102138,96.446437
"333","ENSG00000013375","PGM3","5238",19.352983,28.495322,21.754551,18.271739,7.988387
"334","ENSG00000013392","RWDD2A","112611",4.431093,3.156312,5.335713,1.352192,2.160786
"335","ENSG00000013441","CLK1","1195",283.208093,275.135589,425.129016,92.09328,162.622872
"336","ENSG00000013503","POLR3B","55703",5.26135,2.012465,2.187545,3.534747,3.633778
"337","ENSG00000013523","ANGEL1","23357",15.814654,12.33343,15.739451,4.189216,11.376864
"338","ENSG00000013561","RNF14","9604",26.374216,34.922951,42.626408,25.911528,34.922012
"339","ENSG00000013563","DNASE1L1","1774",27.878721,31.193247,23.371174,18.56387,26.271186
"340","ENSG00000013573","DDX11","1663",98.711382,56.446282,82.579555,80.289325,84.457904
"341","ENSG00000013583","HEBP1","50865",8.466037,7.34127,18.349993,3.045912,11.110497
"342","ENSG00000013588","GPRC5A","9052",2.095954,1.611476,6.009087,0,0
"343","ENSG00000013619","MAMLD1","10046",8.128383,4.1056,7.859265,5.379172,7.231004
"344","ENSG00000013725","CD6","923",721.067759,726.98128,663.073972,363.285768,512.134194
"345","ENSG00000013810","TACC3","10460",98.451916,118.784647,113.681881,170.597833,129.236461
"346","ENSG00000014123","UFL1","23376",22.870929,29.266687,37.721306,14.502193,22.291588
"347","ENSG00000014138","POLA2","23649",9.015895,9.12993,11.050196,43.310856,22.347248
"349","ENSG00000014216","CAPN1","823",106.268897,120.127573,77.196912,110.783201,120.873843
"351","ENSG00000014641","MDH1","4190",79.134908,94.318365,90.961239,167.14236,132.591869
"352","ENSG00000014824","SLC30A9","10463",17.097236,21.627716,18.0159,23.185121,19.198605
"353","ENSG00000014914","MTMR11","10903",3.552152,5.624847,6.982739,0.59078,2.856059
"354","ENSG00000014919","COX15","1355",23.037379,22.783975,30.666094,21.117389,18.861635
"355","ENSG00000015133","CCDC88C","440193",152.812618,145.228463,123.907918,79.819158,114.232103
"356","ENSG00000015153","YAF2","10138",24.431123,24.86984,38.127883,35.240247,33.69625
"357","ENSG00000015171","ZMYND11","10771",43.062194,49.880745,35.320573,30.586687,42.127382
"358","ENSG00000015285","WAS","7454",151.511621,248.678461,122.585586,193.711587,237.67456
"360","ENSG00000015475","BID","637",14.348896,14.738725,39.717158,40.856259,31.384877
"363","ENSG00000015532","XYLT2","64132",22.221906,18.290955,22.2868,13.790372,21.050495
"364","ENSG00000015568","RGPD5","84220",7.50687,1.763536,26.984562,3.566611,1.90002
"365","ENSG00000015592","STMN4","81551",0.189387,0,0.680726,0,0.13688
"366","ENSG00000015676","NUDCD3","23386",34.506593,35.019713,47.156624,32.467755,40.906579
"368","ENSG00000016391","CHDH","55349",15.160106,25.623166,10.796824,8.454449,27.808331
