"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"16974","ENSG00000197050","ZNF420","147923",4.507165,7.28207,8.884585
"16975","ENSG00000197054","ZNF763","284390",0.09594,0.849553,0.903143
"16976","ENSG00000197056","ZMYM1","79830",10.025103,13.60593,12.028252
"16977","ENSG00000197057","DTHD1","401124",0,0.019539,0.099169
"16978","ENSG00000197061","H4C3","8364",0.975488,1.484192,0.52836
"16979","ENSG00000197062","ZSCAN26","7741",4.509271,9.506404,9.451243
"16980","ENSG00000197063","MAFG","4097",23.380807,22.835467,25.893406
"16982","ENSG00000197070","ARRDC1","92714",71.000361,69.783422,69.336073
"16983","ENSG00000197077","KIAA1671","85379",20.672646,16.968878,18.137186
"16985","ENSG00000197081","IGF2R","3482",50.596513,68.905193,78.151597
"16987","ENSG00000197084","LCE1C","353133",0.307755,0,0.620505
"16989","ENSG00000197093","GAL3ST4","79690",0.058406,1.174715,1.162121
"16990","ENSG00000197102","DYNC1H1","1778",259.696254,203.754529,258.777628
"16993","ENSG00000197111","PCBP2","5094",594.66396,344.5825,364.91972
"16994","ENSG00000197114","ZGPAT","84619",29.078794,19.970871,21.51246
"16995","ENSG00000197119","SLC25A29","123096",6.498625,4.732432,5.951673
"16996","ENSG00000197121","PGAP1","80055",3.626286,5.28059,7.736296
"16997","ENSG00000197122","SRC","6714",26.204452,12.839762,13.93808
"16998","ENSG00000197123","ZNF679","168417",0,0.069891,0.046643
"16999","ENSG00000197124","ZNF682","91120",0.835485,2.313147,3.074117
"17001","ENSG00000197128","ZNF772","400720",3.250661,4.352272,5.084063
"17002","ENSG00000197134","ZNF257","113835",4.151606,2.568639,4.146591
"17003","ENSG00000197136","PCNX3","399909",36.496168,30.900132,31.536663
"17005","ENSG00000197142","ACSL5","51703",9.101003,2.851563,2.795144
"17006","ENSG00000197147","LRRC8B","23507",4.839605,5.336711,5.320591
"17007","ENSG00000197149","RPS2P40","91561",0.974903,0.73833,0.784322
"17008","ENSG00000197150","ABCB8","11194",37.401503,37.073952,39.765154
"17009","ENSG00000197153","H3C12","8356",0.372234,0.283415,2.120772
"17010","ENSG00000197157","SND1","27044",136.346505,183.123473,197.248282
"17012","ENSG00000197162","ZNF785","146540",0.242496,0.565566,0.342365
"17013","ENSG00000197165","SULT1A2","6799",0.548532,0.415735,0.334691
"17014","ENSG00000197168","NEK5","341676",0,0.150871,0.272519
"17015","ENSG00000197170","PSMD12","5718",98.933664,90.697834,86.93977
"17017","ENSG00000197172","MAGEA6","4105",89.685957,91.423815,99.108026
"17019","ENSG00000197181","PIWIL2","55124",0.124824,1.175524,1.92896
"17020","ENSG00000197183","NOL4L","140688",5.307657,9.774806,9.813082
"17022","ENSG00000197191","CYSRT1","375791",19.514237,21.712242,27.430386
"17023","ENSG00000197208","SLC22A4","6583",2.838479,2.022404,1.826511
"17024","ENSG00000197213","ZSCAN5B","342933",2.30321,3.238166,3.103359
"17026","ENSG00000197217","ENTPD4","9583",20.756174,15.896271,20.393162
"17027","ENSG00000197223","C1D","10438",36.120016,36.357812,45.378729
"17028","ENSG00000197226","TBC1D9B","23061",42.933814,31.675574,32.794173
"17030","ENSG00000197238","H4C11","8363",14.885106,10.259892,13.332383
"17032","ENSG00000197245","FAM110D","79927",0.299448,0.50314,0.367254
"17036","ENSG00000197256","KANK2","25959",24.358636,13.804673,20.720629
"17038","ENSG00000197261","C6orf141","135398",13.584644,13.216712,11.108315
"17039","ENSG00000197265","GTF2E2","2961",46.265002,50.320354,54.015335
"17042","ENSG00000197275","RAD54B","25788",6.960984,4.212449,4.151866
"17043","ENSG00000197279","ZNF165","7718",6.422819,4.114685,6.098782
"17045","ENSG00000197296","FITM2","128486",8.890417,7.04301,7.740627
"17046","ENSG00000197299","BLM","641",14.867896,6.673351,7.385509
"17047","ENSG00000197302","KRBOX5","124411",9.863346,6.136237,8.497217
"17048","ENSG00000197309","OR10D3","26497",0.077913,0.013904,0
"17049","ENSG00000197312","DDI2","84301",7.401401,7.972973,8.548151
"17051","ENSG00000197321","SVIL","6840",12.159214,16.392252,12.666361
"17052","ENSG00000197323","TRIM33","51592",22.236258,17.618769,20.846768
"17053","ENSG00000197324","LRP10","26020",81.168779,78.55633,86.106701
"17054","ENSG00000197329","PELI1","57162",4.243295,4.261748,3.809907
"17055","ENSG00000197343","ZNF655","79027",42.928715,25.618903,26.639514
"17056","ENSG00000197345","MRPL21","219927",112.673404,107.660652,120.759606
"17058","ENSG00000197355","UAP1L1","91373",8.727839,3.240751,3.036985
"17060","ENSG00000197360","ZNF98","148198",0.058329,0.088082,0.055038
"17061","ENSG00000197361","FBXL22","283807",0.348706,0.567923,0.557983
"17062","ENSG00000197362","ZNF786","136051",4.545412,4.622836,4.825687
"17063","ENSG00000197363","ZNF517","340385",0.927679,1.405396,1.98166
"17065","ENSG00000197372","ZNF675","171392",7.662027,7.828772,5.892455
"17066","ENSG00000197375","SLC22A5","6584",10.923723,10.92934,14.271262
"17068","ENSG00000197380","DACT3","147906",0.355523,0.378905,0.60569
"17069","ENSG00000197381","ADARB1","104",4.322136,1.92744,2.539826
"17070","ENSG00000197385","ZNF860","344787",3.258633,5.006168,4.996557
"17071","ENSG00000197386","HTT","3064",18.34778,25.061607,15.128175
"17073","ENSG00000197405","C5AR1","728",0.029529,0.357443,1.049965
"17074","ENSG00000197406","DIO3","1735",0.032858,0.049708,0
"17077","ENSG00000197410","DCHS2","54798",0,0.008372,0.052519
"17078","ENSG00000197415","VEPH1","79674",4.367601,4.45224,4.38672
"17080","ENSG00000197417","SHPK","23729",3.255542,1.954608,2.176363
"17083","ENSG00000197429","IPP","3652",8.983369,3.088773,3.301437
"17086","ENSG00000197442","MAP3K5","4217",6.498815,6.579783,6.915933
"17089","ENSG00000197448","GSTK1","373156",88.443964,72.634287,80.41789
"17090","ENSG00000197451","HNRNPAB","3182",383.876406,191.040992,201.946331
"17092","ENSG00000197457","STMN3","50861",4.127973,12.305574,14.023594
"17093","ENSG00000197461","PDGFA","5154",44.391705,38.533719,44.728815
"17095","ENSG00000197467","COL13A1","1305",0.103898,0.219442,0.072741
"17098","ENSG00000197472","ZNF695","57116",4.815404,5.151018,5.448945
"17101","ENSG00000197479","PCDHB11","56125",0.030843,0,0.02848
"17102","ENSG00000197483","ZNF628","89887",4.817538,4.257626,3.727966
"17104","ENSG00000197496","SLC2A10","81031",0,0.122355,0.35008
"17105","ENSG00000197497","ZNF665","79788",0.227083,0.53473,0.60848
"17106","ENSG00000197498","RPF2","84154",66.788346,54.608513,60.206204
"17107","ENSG00000197506","SLC28A3","64078",0.170702,0.07943,0.105245
"17109","ENSG00000197530","MIB2","142678",24.626437,16.398364,12.158911
"17110","ENSG00000197532","OR6Y1","391112",0.155173,0.053346,0.042415
"17111","ENSG00000197535","MYO5A","4644",39.745344,41.150733,43.043755
