"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"10868","ENSG00000163219","ARHGAP25","9938",0.920569,0.512247,0.844985
"10871","ENSG00000163235","TGFA","7039",1.776382,2.950273,2.746791
"10872","ENSG00000163239","TDRD10","126668",0.044162,0.324446,1.124896
"10873","ENSG00000163249","CCNYL1","151195",10.01586,16.481229,17.307159
"10874","ENSG00000163251","FZD5","7855",1.325237,1.474873,1.637928
"10876","ENSG00000163257","DCAF16","54876",21.005175,32.553623,27.994727
"10878","ENSG00000163273","NPPC","4880",3.617863,4.883063,4.530426
"10879","ENSG00000163281","GNPDA2","132789",27.509045,34.535874,35.231247
"10880","ENSG00000163283","ALPP","250",0.514397,2.364828,1.767744
"10881","ENSG00000163285","GABRG1","2565",0.010312,0.031011,0.083007
"10882","ENSG00000163286","ALPG","251",0.63785,2.4444,2.835665
"10883","ENSG00000163288","GABRB1","2560",0,0.228433,0.344984
"10884","ENSG00000163291","PAQR3","152559",19.029513,18.160162,16.280742
"10885","ENSG00000163293","NIPAL1","152519",0.852823,2.212842,1.976326
"10887","ENSG00000163297","ANTXR2","118429",13.887976,29.790477,27.924782
"10888","ENSG00000163312","HELQ","113510",4.849564,4.571563,5.508568
"10889","ENSG00000163319","MRPS18C","51023",38.381346,35.493121,37.395446
"10890","ENSG00000163320","CGGBP1","8545",47.4558,33.162047,40.791698
"10891","ENSG00000163322","ABRAXAS1","84142",18.56705,29.790728,24.433437
"10892","ENSG00000163328","GPR155","151556",3.559242,3.188883,4.142919
"10893","ENSG00000163331","DAPL1","92196",2.125883,7.563568,10.734447
"10894","ENSG00000163344","PMVK","10654",47.2399,46.178051,44.030413
"10895","ENSG00000163346","PBXIP1","57326",13.707208,24.614687,19.777949
"10896","ENSG00000163347","CLDN1","9076",38.62061,69.480783,68.457106
"10897","ENSG00000163348","PYGO2","90780",38.014442,39.925692,44.50565
"10898","ENSG00000163349","HIPK1","204851",18.323099,19.917961,18.014065
"10899","ENSG00000163352","LENEP","55891",0.168886,0.998173,0.270965
"10900","ENSG00000163354","DCST2","127579",0.229033,0.176302,0.503148
"10902","ENSG00000163359","COL6A3","1293",0,0.06817,0.019432
"10903","ENSG00000163362","INAVA","55765",20.810244,23.417697,22.435804
"10904","ENSG00000163374","YY1AP1","55249",32.473045,31.816103,30.274157
"10905","ENSG00000163376","KBTBD8","84541",3.560384,5.838028,6.686112
"10907","ENSG00000163378","EOGT","285203",12.507259,10.38269,14.557014
"10908","ENSG00000163380","LMOD3","56203",0.035282,0.035361,0.022424
"10909","ENSG00000163382","NAXE","128240",124.401731,157.689839,154.522246
"10910","ENSG00000163389","POGLUT1","56983",6.179884,5.996963,4.902442
"10911","ENSG00000163393","SLC22A15","55356",1.595733,2.073614,2.778156
"10914","ENSG00000163399","ATP1A1","476",187.171622,241.904628,239.520569
"10915","ENSG00000163406","SLC15A2","6565",0.074559,0.409748,0.050936
